Time	Count	Error
49853.058653776054	5.8125	0.6027282
49853.058653776054	8.6875	0.73686415
49853.05883896124	7.4375	0.6817945
49853.05883896124	9.75	0.78062475
49853.05902414642	7.3125	0.6760409
49853.05902414642	9.375	0.76546556
49853.05920933161	7.9375	0.7043392
49853.05920933161	7.625	0.69033504
49853.05939451679	8.375	0.7234898
49853.05939451679	8.6875	0.73686415
49853.05957970198	9.4375	0.7680129
49853.05957970198	6.25	0.625
49853.05976488716	8.5	0.72886896
49853.05976488716	8.0	0.70710677
49853.05995007235	8.5	0.72886896
49853.05995007235	7.75	0.69597054
49853.06013525753	7.285707	0.72139245
49853.06013525753	7.2142787	0.7178475
49853.06032044272	10.088801	0.9171637
49853.06032044272	7.8375807	0.8083848
49853.0605056279	8.710214	0.78858566
49853.0605056279	7.4964957	0.73158306
49853.06069081309	7.5625	0.6875
49853.06069081309	8.5625	0.7315437
49853.06124636865	8.6875	0.73686415
49853.06124636865	8.125	0.71260965
49853.06143155383	9.1875	0.7577722
49853.06143155383	6.4375	0.6343057
49853.06161673902	8.6875	0.73686415
49853.06161673902	7.4375	0.6817945
49853.0618019242	7.3125	0.6760409
49853.0618019242	8.5	0.72886896
49853.06198710939	8.3125	0.72078514
49853.06198710939	7.5625	0.6875
49853.06217229457	7.25	0.6731456
49853.06217229457	8.1875	0.7153452
49853.06235747976	8.625	0.73420876
49853.06235747976	7.875	0.70156074
49853.06254266494	7.625	0.69033504
49853.06254266494	9.4375	0.7680129
49853.06272785013	8.125	0.71260965
49853.06272785013	8.5	0.72886896
49853.06291303531	7.8125	0.69877124
49853.06291303531	8.9375	0.7473913
49853.063468590866	7.75	0.69597054
49853.063468590866	6.625	0.6434769
49853.06365377605	7.3125	0.6760409
49853.06365377605	7.0625	0.6643841
49853.063838961236	7.5	0.6846532
49853.063838961236	8.9375	0.7473913
49853.06402414642	7.75	0.69597054
49853.06402414642	8.8125	0.7421464
49853.064209331606	6.375	0.631219
49853.064209331606	8.625	0.73420876
49853.06439451679	7.0	0.6614378
49853.06439451679	8.1875	0.7153452
49853.064579701975	6.9375	0.6584784
49853.064579701975	8.375	0.7234898
49853.06476488717	7.9375	0.7043392
49853.06476488717	7.875	0.70156074
49853.06495007235	8.375	0.7234898
49853.06495007235	7.375	0.6789238
49853.06513525754	10.3125	0.80282706
49853.06513525754	6.5625	0.64043444
49853.06532044272	6.6875	0.646505
49853.06532044272	7.5	0.6846532
49853.06550562791	6.875	0.65550554
49853.06550562791	9.0	0.75
49853.06569081309	6.5	0.63737744
49853.06569081309	6.5	0.63737744
49853.065875998276	6.375	0.631219
49853.065875998276	7.9375	0.7043392
49853.06606118346	6.75	0.649519
49853.06606118346	6.5625	0.64043444
49853.066246368646	6.9375	0.6584784
49853.066246368646	6.625	0.6434769
49853.06643155383	6.5625	0.64043444
49853.06643155383	8.25	0.7180703
49853.066616739015	6.5625	0.64043444
49853.066616739015	7.125	0.6673174
49853.0668019242	8.75	0.73951
49853.0668019242	6.0625	0.6155536
49853.066987109385	5.625	0.59292704
49853.066987109385	6.8125	0.65251917
49853.06717229457	7.6875	0.6931585
49853.06717229457	5.8125	0.6027282
49853.067357479755	5.125	0.5659616
49853.067357479755	6.75	0.649519
49853.06754266494	6.6875	0.646505
49853.06754266494	7.8125	0.69877124
49853.067727850124	5.5039997	0.67749554
49853.067727850124	5.5039997	0.67749554
49853.07457970198	7.666689	0.7993076
49853.07457970198	4.916681	0.6400973
49853.07476488716	6.280865	0.6695425
49853.07476488716	6.066745	0.65803087
49853.0768019242	4.0229654	1.422333
49853.0768019242	6.034448	1.741995
49853.07698710939	6.9228945	0.70291346
49853.07698710939	6.6374145	0.6882678
49853.08643155383	7.4375	0.6817945
49853.08643155383	8.4375	0.72618437
49853.08661673901	8.75	0.73951
49853.08661673901	7.125	0.6673174
49853.086801924204	5.999994	0.654653
49853.086801924204	7.7857065	0.74573547
49853.08698710939	7.857135	0.7491484
49853.08698710939	7.0714216	0.71070457
49853.087172294574	6.25	0.625
49853.087172294574	8.0625	0.70986354
49853.08735747976	6.4375	0.6343057
49853.08735747976	7.25	0.6731456
49853.08754266494	7.3125	0.6760409
49853.08754266494	7.5	0.6846532
49853.08772785013	8.125	0.71260965
49853.08772785013	7.0625	0.6643841
49853.08791303531	7.5	0.6846532
49853.08791303531	7.0	0.6614378
49853.0880982205	7.1875	0.67023784
49853.0880982205	7.75	0.69597054
49853.08828340568	7.4375	0.6817945
49853.08828340568	6.5	0.63737744
49853.08846859087	5.25	0.572822
49853.08846859087	7.75	0.69597054
49853.08865377605	6.4375	0.6343057
49853.08865377605	6.625	0.6434769
49853.08883896124	7.625	0.69033504
49853.08883896124	7.1875	0.67023784
49853.08902414642	8.25	0.7180703
49853.08902414642	6.1875	0.6218671
49853.08920933161	6.6875	0.646505
49853.08920933161	8.1875	0.7153452
49853.08939451679	7.5	0.6846532
49853.08939451679	8.0	0.70710677
49853.08957970198	6.5625	0.64043444
49853.08957970198	6.25	0.625
49853.08976488716	5.9375	0.60917467
49853.08976488716	7.0625	0.6643841
49853.089950072346	7.125	0.6673174
49853.089950072346	9.0	0.75
49853.09013525753	7.625	0.69033504
49853.09013525753	6.5	0.63737744
49853.090320442716	7.625	0.69033504
49853.090320442716	6.75	0.649519
49853.09050562791	7.999992	0.75592816
49853.09050562791	8.357135	0.7726174
49853.09069081309	7.625	0.69033504
49853.09069081309	7.8125	0.69877124
49853.09087599828	6.9375	0.6584784
49853.09087599828	6.0	0.61237246
49853.09106118346	7.1875	0.67023784
49853.09106118346	7.375	0.6789238
49853.09124636865	5.4375	0.5829612
49853.09124636865	7.6875	0.6931585
49853.09143155383	7.4375	0.6817945
49853.09143155383	5.6875	0.596212
49853.09161673902	6.75	0.649519
49853.09161673902	7.25	0.6731456
49853.0918019242	7.5	0.6846532
49853.0918019242	7.0625	0.6643841
49853.09198710939	8.9375	0.7473913
49853.09198710939	5.9375	0.60917467
49853.09217229457	8.8125	0.7421464
49853.09217229457	7.1875	0.67023784
49853.092357479756	8.9375	0.7473913
49853.092357479756	7.1875	0.67023784
49853.09254266494	8.0625	0.70986354
49853.09254266494	6.125	0.61871845
49853.092727850126	8.6875	0.73686415
49853.092727850126	7.25	0.6731456
49853.09291303531	9.0	0.75
