Time	Count	Error
49853.058653776054	10.9375	0.8267973
49853.058653776054	11.0	0.8291562
49853.058653776054	7.6875	0.6931585
49853.058653776054	7.6875	0.6931585
49853.05883896124	8.75	0.73951
49853.05883896124	8.75	0.73951
49853.05883896124	11.5	0.84779125
49853.05883896124	11.375	0.8431711
49853.05902414642	9.9375	0.788095
49853.05902414642	11.8125	0.85923296
49853.05902414642	11.8125	0.85923296
49853.05902414642	9.9375	0.788095
49853.05920933161	11.1875	0.836193
49853.05920933161	11.1875	0.836193
49853.05920933161	8.4375	0.72618437
49853.05920933161	8.4375	0.72618437
49853.05939451679	11.0625	0.8315084
49853.05939451679	9.3125	0.7629097
49853.05939451679	9.3125	0.7629097
49853.05939451679	11.0625	0.8315084
49853.05957970198	8.625	0.73420876
49853.05957970198	11.75	0.85695684
49853.05957970198	11.75	0.85695684
49853.05957970198	8.625	0.73420876
49853.05976488716	9.0	0.75
49853.05976488716	11.75	0.85695684
49853.05976488716	9.0	0.75
49853.05976488716	11.6875	0.85467464
49853.05995007235	11.5625	0.85009193
49853.05995007235	8.916646	0.8620047
49853.05995007235	11.5625	0.85009193
49853.05995007235	9.083313	0.8700236
49853.06013525753	9.583311	0.8936484
49853.06013525753	9.583311	0.8936484
49853.06013525753	11.25	0.8385255
49853.06013525753	11.125	0.833854
49853.06032044272	8.0	0.70710677
49853.06032044272	11.124943	1.1792415
49853.06032044272	11.124943	1.1792415
49853.06032044272	8.0	0.70710677
49853.0605056279	12.9375	0.89921844
49853.0605056279	9.9375	0.788095
49853.0605056279	9.875	0.7856128
49853.0605056279	13.0	0.9013878
49853.06069081309	9.4375	0.7680129
49853.06069081309	12.75	0.89267856
49853.06069081309	9.4375	0.7680129
49853.06069081309	12.75	0.89267856
49853.06124636865	9.0	0.75
49853.06124636865	11.625	0.85238636
49853.06124636865	11.5625	0.85009193
49853.06124636865	9.0625	0.75259966
49853.06143155383	9.5	0.77055174
49853.06143155383	9.4375	0.7680129
49853.06143155383	9.625	0.7756046
49853.06143155383	9.625	0.7756046
49853.06161673902	8.25	0.7180703
49853.06161673902	11.0625	0.8315084
49853.06161673902	8.1875	0.7153452
49853.06161673902	11.0625	0.8315084
49853.0618019242	9.3125	0.7629097
49853.0618019242	11.625	0.85238636
49853.0618019242	11.625	0.85238636
49853.0618019242	9.3125	0.7629097
49853.06198710939	10.75	0.8196798
49853.06198710939	10.6875	0.8172935
49853.06198710939	11.875	0.86150306
49853.06198710939	12.0	0.8660254
49853.06217229457	10.9375	0.8267973
49853.06217229457	11.0625	0.8315084
49853.06217229457	8.8125	0.7421464
49853.06217229457	8.8125	0.7421464
49853.06235747976	12.125	0.8705243
49853.06235747976	12.1875	0.872765
49853.06235747976	9.6875	0.7781187
49853.06235747976	9.6875	0.7781187
49853.06254266494	9.375	0.76546556
49853.06254266494	9.25	0.76034534
49853.06254266494	11.5625	0.85009193
49853.06254266494	11.5	0.84779125
49853.06272785013	8.5	0.72886896
49853.06272785013	10.6875	0.8172935
49853.06272785013	10.6875	0.8172935
49853.06272785013	8.5	0.72886896
49853.06291303531	8.125	0.71260965
49853.06291303531	8.0	0.70710677
49853.06291303531	10.75	0.8196798
49853.06291303531	10.875	0.8244316
49853.0630982205	8.5	0.72886896
49853.0630982205	8.5	0.72886896
49853.0630982205	11.9375	0.8637672
49853.0630982205	12.0625	0.8682777
49853.06328340568	10.0	0.7905694
49853.06328340568	10.0	0.7905694
49853.06328340568	11.1875	0.836193
49853.06328340568	11.1875	0.836193
49853.063468590866	9.6875	0.7781187
49853.063468590866	10.875	0.8244316
49853.063468590866	10.9375	0.8267973
49853.063468590866	9.625	0.7756046
49853.06365377605	7.8125	0.69877124
49853.06365377605	10.25	0.80039054
49853.06365377605	7.8125	0.69877124
49853.06365377605	10.1875	0.7979466
49853.063838961236	8.3125	0.72078514
49853.063838961236	11.125	0.833854
49853.063838961236	11.3125	0.8408515
49853.063838961236	8.3125	0.72078514
49853.06402414642	8.625	0.73420876
49853.06402414642	10.6875	0.8172935
49853.06402414642	10.6875	0.8172935
49853.06402414642	8.625	0.73420876
49853.064209331606	11.8125	0.85923296
49853.064209331606	8.75	0.73951
49853.064209331606	8.6875	0.73686415
49853.064209331606	11.8125	0.85923296
49853.06439451679	8.3125	0.72078514
49853.06439451679	8.3125	0.72078514
49853.06439451679	9.6875	0.7781187
49853.06439451679	9.5625	0.7730823
49853.064579701975	7.8125	0.69877124
49853.064579701975	10.125	0.79549515
49853.064579701975	7.8125	0.69877124
49853.064579701975	10.125	0.79549515
49853.06476488717	8.75	0.73951
49853.06476488717	8.75	0.73951
49853.06476488717	9.3125	0.7629097
49853.06476488717	9.3125	0.7629097
49853.06495007235	7.9375	0.7043392
49853.06495007235	10.0	0.7905694
49853.06495007235	10.0625	0.7930361
49853.06495007235	7.9375	0.7043392
49853.06513525754	9.5625	0.7730823
49853.06513525754	10.875	0.8244316
49853.06513525754	10.8125	0.82205915
49853.06513525754	9.625	0.7756046
49853.06532044272	8.0625	0.70986354
49853.06532044272	10.0625	0.7930361
49853.06532044272	10.0625	0.7930361
49853.06532044272	8.0625	0.70986354
49853.06550562791	8.5625	0.7315437
49853.06550562791	8.5625	0.7315437
49853.06550562791	10.0	0.7905694
49853.06550562791	10.0625	0.7930361
49853.06569081309	10.25	0.80039054
49853.06569081309	10.25	0.80039054
49853.06569081309	8.625	0.73420876
49853.06569081309	8.625	0.73420876
49853.065875998276	11.5625	0.85009193
49853.065875998276	11.5625	0.85009193
49853.065875998276	9.625	0.7756046
49853.065875998276	9.625	0.7756046
49853.06606118346	8.4375	0.72618437
49853.06606118346	7.0625	0.6643841
49853.06606118346	7.0625	0.6643841
49853.06606118346	8.5	0.72886896
49853.066246368646	8.375	0.7234898
49853.066246368646	8.8125	0.7421464
49853.066246368646	8.8125	0.7421464
49853.066246368646	8.3125	0.72078514
49853.06643155383	7.8125	0.69877124
49853.06643155383	10.5625	0.8125
49853.06643155383	10.625	0.8149003
49853.06643155383	7.8125	0.69877124
49853.066616739015	7.4375	0.6817945
49853.066616739015	9.4375	0.7680129
49853.066616739015	9.4375	0.7680129
49853.066616739015	7.4375	0.6817945
49853.0668019242	7.9375	0.7043392
49853.0668019242	10.875	0.8244316
49853.0668019242	7.9375	0.7043392
49853.0668019242	10.75	0.8196798
49853.066987109385	8.6875	0.73686415
49853.066987109385	10.25	0.80039054
49853.066987109385	8.8125	0.7421464
49853.066987109385	10.25	0.80039054
49853.06717229457	6.25	0.625
49853.06717229457	10.0625	0.7930361
49853.06717229457	10.0	0.7905694
49853.06717229457	6.25	0.625
49853.067357479755	8.1875	0.7153452
49853.067357479755	8.125	0.71260965
49853.067357479755	7.125	0.6673174
49853.067357479755	7.125	0.6673174
49853.06754266494	7.125	0.6673174
49853.06754266494	8.5625	0.7315437
49853.06754266494	8.625	0.73420876
49853.06754266494	7.125	0.6673174
49853.067727850124	8.4375	0.72618437
49853.067727850124	8.375	0.7234898
49853.067727850124	6.375	0.631219
49853.067727850124	6.375	0.631219
49853.06791303531	7.0625	0.6643841
49853.06791303531	7.0625	0.6643841
49853.06791303531	8.8125	0.7421464
49853.06791303531	8.8125	0.7421464
49853.068098220494	8.25	0.7180703
49853.068098220494	8.125	0.71260965
49853.068098220494	11.0625	0.8315084
49853.068098220494	11.0625	0.8315084
49853.06828340568	8.25	0.7180703
49853.06828340568	9.5625	0.7730823
49853.06828340568	8.25	0.7180703
49853.06828340568	9.5625	0.7730823
49853.06846859087	8.8125	0.7421464
49853.06846859087	8.875	0.74477345
49853.06846859087	7.125	0.6673174
49853.06846859087	7.125	0.6673174
49853.068653776056	7.875	0.70156074
49853.068653776056	10.5	0.81009257
49853.068653776056	10.5	0.81009257
49853.068653776056	7.875	0.70156074
49853.06883896124	7.5625	0.6875
49853.06883896124	7.5625	0.6875
49853.06883896124	8.25	0.7180703
49853.06883896124	8.25	0.7180703
49853.069024146425	7.9375	0.7043392
49853.069024146425	9.4375	0.7680129
49853.069024146425	9.4375	0.7680129
49853.069024146425	7.9375	0.7043392
49853.06920933161	9.6875	0.7781187
49853.06920933161	9.875	0.7856128
49853.06920933161	7.8125	0.69877124
49853.06920933161	7.8125	0.69877124
49853.069394516795	8.9375	0.7473913
49853.069394516795	7.3125	0.6760409
49853.069394516795	8.9375	0.7473913
49853.069394516795	7.3125	0.6760409
49853.06957970198	9.0625	0.75259966
49853.06957970198	9.0625	0.75259966
49853.06957970198	9.25	0.76034534
49853.06957970198	9.25	0.76034534
49853.069764887165	6.8125	0.65251917
49853.069764887165	6.8125	0.65251917
49853.069764887165	9.1875	0.7577722
49853.069764887165	9.1875	0.7577722
49853.06995007235	7.0625	0.6643841
49853.06995007235	8.6875	0.73686415
49853.06995007235	7.0625	0.6643841
