Time	Count	Error
49853.05822103015	8.089175	1.205863
49853.058285422354	14.200995	1.5977368
49853.058349814564	5.9320617	1.0326394
49853.05841420677	14.021236	1.5875922
49853.05847859897	7.370137	1.1510221
49853.05854299117	8.448693	1.2323687
49853.05860738338	15.4593115	1.6670204
49853.05867177559	8.268934	1.2191879
49853.058736167324	13.841476	1.5773827
49853.05880055953	7.5498962	1.1649743
49853.05886495173	8.089175	1.205863
49853.05892934394	15.0997925	1.6475226
49853.058993736144	7.370137	1.1510221
49853.05905812835	15.0997925	1.6475226
49853.05912252055	7.7296557	1.1787615
49853.05918691229	8.808212	1.258316
49853.0592513045	14.200995	1.5977368
49853.0593156967	6.8308587	1.1081116
49853.059380088904	7.7296557	1.1787615
49853.05944448111	16.537868	1.724192
49853.05950887332	6.111821	1.0481687
49853.05957326552	17.796185	1.7885838
49853.05963765772	7.010618	1.1225973
49853.05970204946	7.5498962	1.1649743
49853.059766441664	12.223642	1.4823343
49853.059830833874	9.347491	1.2962637
49853.05989522608	14.54773	2.1220045
49853.06002401048	6.5955	1.09925
49853.06008840269	13.481958	1.5567625
49853.0601527949	9.167731	1.2837392
49853.060217186634	18.335463	1.8154813
49853.06028157884	8.987972	1.2710912
49853.06034597104	7.9094152	1.1923892
49853.06041036325	18.89213	2.570893
49853.06079671601	9.797682	1.5491496
49853.06086110821	7.5498962	1.1649743
49853.060925500424	15.99859	1.6958472
49853.06098989263	7.370137	1.1510221
49853.06105428483	12.223642	1.4823343
49853.06111867703	6.29158	1.0634712
49853.06118306877	7.370137	1.1510221
49853.06124746098	14.740274	1.627791
49853.061311853184	7.370137	1.1510221
49853.06137624539	14.920033	1.6376865
49853.06144063759	8.448693	1.2323687
49853.0615050298	6.4713397	1.0785567
49853.061569422	14.200995	1.5977368
49853.061633814206	9.167731	1.2837392
49853.061698205944	15.639071	1.6766845
49853.06176259815	5.9320617	1.0326394
49853.06182699036	7.1903777	1.1368985
49853.06189138256	16.17835	1.7053477
49853.06195577476	8.089175	1.205863
49853.062020166966	6.111821	1.0481687
49853.06208455918	14.380755	1.6078173
49853.06214895138	8.268934	1.2191879
49853.06221334312	15.99859	1.6958472
49853.06227773532	9.52725	1.3086685
49853.06234212753	6.4713397	1.0785567
49853.06240651973	12.043882	1.4713943
49853.06247091194	6.651099	1.093434
49853.06253530414	15.279552	1.6573001
49853.06259969634	6.29158	1.0634712
49853.06266408855	9.167731	1.2837392
49853.06272848029	16.717628	1.7335373
49853.06279287249	6.8308587	1.1081116
49853.0628572647	15.99859	1.6958472
49853.06292165691	7.5498962	1.1649743
49853.06298604911	7.010618	1.1225973
49853.06305044131	15.8188305	1.686293
49853.063114833516	5.9320617	1.0326394
49853.06317922525	14.021236	1.5875922
49853.063243617464	5.752302	1.0168729
49853.06330800967	6.111821	1.0481687
49853.06337240187	16.897387	1.7428325
49853.06343679407	7.1903777	1.1368985
49853.06350118628	6.8308587	1.1081116
49853.063565578486	14.200995	1.5977368
49853.06362997069	7.9094152	1.1923892
49853.06369436243	12.58316	1.5039753
49853.06375875464	8.268934	1.2191879
49853.06382314684	7.7296557	1.1787615
49853.06388753904	15.0997925	1.6475226
49853.063951931246	5.5725427	1.0008582
49853.06401632345	14.560514	1.6178349
49853.06408071566	4.6737456	0.9165969
49853.06414510786	6.4713397	1.0785567
49853.0642094996	13.481958	1.5567625
49853.0642738918	7.010618	1.1225973
49853.06433828401	12.403401	1.493194
49853.06440267622	6.651099	1.093434
49853.06446706842	6.29158	1.0634712
49853.06453146062	12.76292	1.5146799
