Phase	Weighted_Average	Error
0.0	0.6768168	0.007027337
0.0	0.65913886	0.006491853
0.03125	0.47078392	0.0073677
0.03125	0.44907698	0.0075159986
0.0625	0.0	0.0
0.0625	0.0	0.0
0.09375	0.5497851	0.0065515633
0.09375	0.5447831	0.0061049946
0.125	0.66784596	0.008742158
0.125	0.6436798	0.009168335
0.15625	0.9794048	0.009775005
0.15625	0.9790576	0.01044035
0.1875	1.1974897	0.012131806
0.1875	1.2142472	0.011435841
0.21875	0.968874	0.011446943
0.21875	1.0017822	0.012434191
0.25	0.8842042	0.008489806
0.25	0.8785145	0.009040052
0.28125	0.8180411	0.014778514
0.28125	0.8122627	0.015731366
0.3125	0.9204726	0.010909413
0.3125	0.9382631	0.010310584
0.34375	0.8348008	0.0079809455
0.34375	0.8245355	0.0074249334
0.375	0.0	0.0
0.375	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.4375	0.87649834	0.0072235875
0.4375	0.8666012	0.0076729446
0.46875	0.0	0.0
0.46875	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.53125	1.0936629	0.010571356
0.53125	1.0906336	0.011277256
0.5625	0.0	0.0
0.5625	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.625	1.6132923	0.01969481
0.625	1.6443144	0.021240402
0.65625	0.0	0.0
0.65625	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.71875	1.723254	0.021903018
0.71875	1.7711424	0.023720896
0.75	0.8963042	0.031167552
0.75	0.8410249	0.032251827
0.78125	1.9299476	0.023111902
0.78125	1.9197142	0.024623867
0.8125	1.0990387	0.00836188
0.8125	1.089634	0.007794043
0.84375	0.79859626	0.007349184
0.84375	0.7967221	0.007841586
0.875	1.0203258	0.01237873
0.875	0.9773496	0.012941906
0.90625	1.3504364	0.010857479
0.90625	1.3776331	0.011693347
0.9375	0.65985835	0.0078404695
0.9375	0.668598	0.008430907
0.96875	1.0034891	0.013093198
0.96875	0.97807187	0.012100809
