Phase	Weighted_Average	Error
0.0	0.51950973	0.0055376776
0.0	0.5083337	0.006000779
0.0	0.5080333	0.006005608
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.5196295	0.00552516
0.0	0.0	0.0
0.03125	0.49567938	0.008077198
0.03125	0.0	0.0
0.03125	0.4960782	0.008061252
0.03125	0.0	0.0
0.03125	0.0	0.0
0.03125	0.0	0.0
0.03125	0.49213266	0.008829
0.03125	0.49194646	0.008837045
0.0625	0.0	0.0
0.0625	0.0	0.0
0.0625	0.0	0.0
0.0625	0.0	0.0
0.0625	0.0	0.0
0.0625	0.0	0.0
0.0625	0.0	0.0
0.0625	0.0	0.0
0.09375	0.0	0.0
0.09375	0.61999124	0.006651593
0.09375	0.6184284	0.0060490854
0.09375	0.61855596	0.0060353386
0.09375	0.0	0.0
0.09375	0.0	0.0
0.09375	0.620053	0.0066446112
0.09375	0.0	0.0
0.125	0.6932548	0.010045061
0.125	0.0	0.0
0.125	0.0	0.0
0.125	0.69188035	0.010058993
0.125	0.0	0.0
0.125	0.6847803	0.011656784
0.125	0.6854535	0.011649692
0.125	0.0	0.0
0.15625	0.0	0.0
0.15625	0.0	0.0
0.15625	0.5731749	0.0059406725
0.15625	0.5656123	0.00529698
0.15625	0.0	0.0
0.15625	0.57307005	0.0059466166
0.15625	0.0	0.0
0.15625	0.5659223	0.005286455
0.1875	1.2121259	0.010818241
0.1875	1.1873556	0.011562654
0.1875	0.0	0.0
0.1875	1.2127634	0.010846851
0.1875	0.0	0.0
0.1875	0.0	0.0
0.1875	1.1882777	0.011579873
0.1875	0.0	0.0
0.21875	1.0925018	0.015189759
0.21875	1.0721008	0.014164334
0.21875	0.0	0.0
0.21875	1.0927911	0.015208489
0.21875	0.0	0.0
0.21875	1.0725116	0.014200782
0.21875	0.0	0.0
0.21875	0.0	0.0
0.25	0.0	0.0
0.25	0.0	0.0
0.25	0.96296316	0.008853922
0.25	0.9633653	0.008846034
0.25	0.0	0.0
0.25	1.0137409	0.008271922
0.25	0.0	0.0
0.25	1.0126923	0.008248003
0.28125	0.0	0.0
0.28125	0.0	0.0
0.28125	0.0	0.0
0.28125	0.90380734	0.014038271
0.28125	0.92653346	0.016598253
0.28125	0.9035157	0.014069426
0.28125	0.9267858	0.01661878
0.28125	0.0	0.0
0.3125	0.0	0.0
0.3125	1.0580262	0.014489432
0.3125	0.0	0.0
0.3125	1.0657755	0.0136436215
0.3125	1.0654167	0.013673805
0.3125	1.0586712	0.014477915
0.3125	0.0	0.0
0.3125	0.0	0.0
0.34375	1.0377746	0.007970628
0.34375	0.0	0.0
0.34375	1.0223463	0.008678612
0.34375	1.0223827	0.008688317
0.34375	1.0370542	0.007948933
0.34375	0.0	0.0
0.34375	0.0	0.0
0.34375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.375	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.40625	0.0	0.0
0.4375	0.0	0.0
0.4375	0.0	0.0
0.4375	0.0	0.0
0.4375	1.0873954	0.007644835
0.4375	1.067753	0.008319507
0.4375	1.0683172	0.008312558
0.4375	0.0	0.0
0.4375	1.0880661	0.0076290257
0.46875	0.0	0.0
0.46875	0.0	0.0
0.46875	0.0	0.0
0.46875	0.0	0.0
0.46875	0.0	0.0
0.46875	0.0	0.0
0.46875	0.0	0.0
0.46875	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.5	0.0	0.0
0.53125	0.0	0.0
0.53125	1.1909417	0.01139618
0.53125	1.129682	0.009756781
0.53125	0.0	0.0
0.53125	0.0	0.0
0.53125	1.1294372	0.00973255
0.53125	0.0	0.0
0.53125	1.1909363	0.011383627
0.5625	0.0	0.0
0.5625	0.0	0.0
0.5625	0.0	0.0
0.5625	0.0	0.0
0.5625	0.0	0.0
0.5625	0.0	0.0
0.5625	0.0	0.0
0.5625	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.59375	0.0	0.0
0.625	1.6861223	0.02110623
0.625	0.0	0.0
0.625	0.0	0.0
0.625	1.6871877	0.021136131
0.625	0.0	0.0
0.625	1.4394792	0.016202588
0.625	1.440845	0.01624887
0.625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.65625	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
0.6875	0.0	0.0
