Time	Count	Error
83479855.26081	2.61825	0.61713
83479865.2608	1.82955	0.43123
83479875.2608	2.4394	0.49794
83479885.26079	2.74432	0.52815
83479895.26078	0.91477	0.30492
83479905.26078	1.72791	0.41908
83479915.26077	2.13447	0.46578
83479925.26076	1.93119	0.44305
83479935.26076	1.93119	0.44305
83479945.26075	2.54104	0.50821
83479955.26074	1.93119	0.44305
83479965.26074	2.4394	0.49794
83479975.26073	1.72791	0.41908
83479985.26073	2.74432	0.52815
83479995.26072	2.74432	0.52815
83480005.26071	3.35417	0.58389
83480015.26071	2.03283	0.45456
83480025.2607	2.74432	0.52815
83480035.26069	2.54104	0.50821
83480045.26069	2.23612	0.47674
83480055.26068	2.33776	0.48746
83480065.26067	1.62627	0.40657
83480075.26067	2.64268	0.51827
83480085.26066	2.54104	0.50821
83480095.26065	2.54104	0.50821
83480105.26065	2.64268	0.51827
83480115.26064	3.25253	0.57497
83480125.26063	2.84596	0.53784
83480135.26063	2.33776	0.48746
83480145.26062	2.4394	0.49794
83480155.26061	2.13447	0.46578
83480165.26061	2.03283	0.45456
83480175.2606	2.4394	0.49794
83480185.26059	3.15089	0.56592
83480195.26059	2.54104	0.50821
83480205.26058	2.23612	0.47674
83480215.26057	2.23612	0.47674
83480225.26057	2.13447	0.46578
83480235.26056	2.74432	0.52815
83480245.26055	2.13447	0.46578
83480255.26055	3.04925	0.55671
83480265.26054	2.13447	0.46578
83480275.26053	2.64268	0.51827
83480285.26053	2.23612	0.47674
83480295.26052	1.52462	0.39366
83480305.26051	1.82955	0.43123
83480315.26051	1.72791	0.41908
83480325.2605	2.03283	0.45456
83480335.26049	2.33776	0.48746
83480345.26049	2.33776	0.48746
83480355.26048	2.03283	0.45456
83480365.26047	2.4394	0.49794
83480375.26047	2.84596	0.53784
83480385.26046	1.72791	0.41908
83480395.26045	1.62627	0.40657
83480405.26045	2.84596	0.53784
83480415.26044	2.33776	0.48746
83480425.26043	2.03283	0.45456
83480435.26043	2.33776	0.48746
83480445.26042	2.13447	0.46578
83480455.26041	2.84596	0.53784
83480465.26041	2.64268	0.51827
83480475.2604	1.82955	0.43123
83480485.26039	3.45581	0.59267
83480495.26038	2.23612	0.47674
83480505.26038	3.15089	0.56592
83480515.26037	1.42298	0.38031
83480525.26036	2.33776	0.48746
83480535.26036	3.86238	0.62656
83480545.26035	2.64268	0.51827
83480555.26034	1.93119	0.44305
83480565.26034	2.13447	0.46578
83480575.26033	3.15089	0.56592
83480585.26032	1.72791	0.41908
83480595.26032	2.84596	0.53784
83480605.26031	2.54104	0.50821
83480615.2603	2.54104	0.50821
83480625.2603	3.35417	0.58389
83480635.26029	2.4394	0.49794
83480645.26028	2.64268	0.51827
83480655.26027	1.32134	0.36647
83480665.26027	1.11806	0.33711
83480675.26026	1.11806	0.33711
83480685.26025	1.93119	0.44305
83480695.26025	2.33776	0.48746
83480705.26024	2.33776	0.48746
83480715.26023	2.54104	0.50821
83480725.26023	2.94761	0.54736
83480735.26022	1.93119	0.44305
83480745.26021	2.64268	0.51827
83480755.26021	3.25253	0.57497
83480765.2602	2.33776	0.48746
83480775.26019	2.74432	0.52815
83480785.26018	3.96402	0.63475
83480795.26018	2.74432	0.52815
83480805.26017	3.35417	0.58389
83480815.26016	2.74432	0.52815
83480825.26016	2.4394	0.49794
83480835.26015	1.52462	0.39366
83480845.26014	2.54104	0.50821
83480855.26013	3.45581	0.59267
83480865.26013	2.84596	0.53784
83480875.26012	1.93119	0.44305
83480885.26011	2.13447	0.46578
83480895.26011	2.33776	0.48746
83480905.2601	2.64268	0.51827
83480915.26009	2.84596	0.53784
83480925.26009	2.33776	0.48746
83480935.26008	2.64268	0.51827
83480945.26007	2.13447	0.46578
83480955.26006	1.72791	0.41908
83480965.26006	2.23612	0.47674
83480975.26005	2.74432	0.52815
83480985.26004	2.64268	0.51827
83480995.26004	3.25253	0.57497
83481005.26003	2.64268	0.51827
83481015.26002	2.64268	0.51827
83481025.26001	2.03283	0.45456
83481035.26001	2.64268	0.51827
83481045.26	2.03283	0.45456
83481055.25999	2.94761	0.54736
83481065.25999	2.4394	0.49794
83481075.25998	3.04925	0.55671
83481085.25997	2.13447	0.46578
83481095.25996	2.03283	0.45456
83481105.25996	3.25253	0.57497
83481115.25995	3.15089	0.56592
83481125.25994	2.23612	0.47674
83481135.25993	2.33776	0.48746
83481145.25993	2.23612	0.47674
83481155.25992	3.15089	0.56592
83481165.25991	2.94761	0.54736
83481175.25991	2.23612	0.47674
83481185.2599	3.55746	0.60132
83481195.25989	2.33776	0.48746
83481205.25988	3.55746	0.60132
83481215.25988	2.4394	0.49794
83481225.25987	3.15089	0.56592
83481235.25986	3.25253	0.57497
83481245.25985	2.33776	0.48746
83481255.25985	3.25253	0.57497
83481265.25984	1.2197	0.3521
83481275.25983	3.15089	0.56592
83481285.25983	2.74432	0.52815
83481295.25982	1.82955	0.43123
83481305.25981	1.72791	0.41908
83481315.2598	2.84596	0.53784
83481325.2598	2.54104	0.50821
83481335.25979	2.64268	0.51827
83481345.25978	2.03283	0.45456
83481355.25977	2.13447	0.46578
83481365.25977	2.94761	0.54736
83481375.25976	3.55746	0.60132
83481385.25975	2.64268	0.51827
83481395.25974	2.54104	0.50821
83481405.25974	2.54104	0.50821
83481415.25973	2.54104	0.50821
83481425.25972	3.76074	0.61826
83481435.25972	2.74432	0.52815
83481445.25971	2.4394	0.49794
83481455.2597	3.45581	0.59267
83481465.25969	2.13447	0.46578
83481475.25969	3.25253	0.57497
83481485.25968	3.35417	0.58389
83481495.25967	3.35417	0.58389
83481505.25966	2.64268	0.51827
83481515.25966	3.04925	0.55671
