Time	Count	Error
83479855.26081	0.14546	0.14546
83479865.2608	0.30492	0.17605
83479875.2608	0.30492	0.17605
83479885.26079	0.60985	0.24897
83479895.26078	0.20328	0.14374
83479905.26078	0.20328	0.14374
83479915.26077	0.50821	0.22728
83479925.26076	0.30492	0.17605
83479935.26076	0.10164	0.10164
83479945.26075	0.50821	0.22728
83479955.26074	0.40657	0.20328
83479965.26074	0.40657	0.20328
83479975.26073	0.30492	0.17605
83479985.26073	0.40657	0.20328
83479995.26072	0.50821	0.22728
83480005.26071	1.11806	0.33711
83480015.26071	0.60985	0.24897
83480025.2607	0.50821	0.22728
83480035.26069	0.20328	0.14374
83480045.26069	0.60985	0.24897
83480055.26068	0.20328	0.14374
83480065.26067	0.20328	0.14374
83480075.26067	0.30492	0.17605
83480085.26066	0.50821	0.22728
83480095.26065	0.30492	0.17605
83480105.26065	0.60985	0.24897
83480115.26064	0.10164	0.10164
83480125.26063	0.60985	0.24897
83480135.26063	0.50821	0.22728
83480145.26062	0.30492	0.17605
83480155.26061	0.60985	0.24897
83480165.26061	0.30492	0.17605
83480175.2606	0.20328	0.14374
83480185.26059	0.91477	0.30492
83480195.26059	0.20328	0.14374
83480205.26058	0.30492	0.17605
83480215.26057	0.40657	0.20328
83480225.26057	0.30492	0.17605
83480235.26056	0.60985	0.24897
83480245.26055	0.30492	0.17605
83480255.26055	0.71149	0.26892
83480265.26054	0.60985	0.24897
83480275.26053	0.30492	0.17605
83480285.26053	0.20328	0.14374
83480295.26052	0.40657	0.20328
83480305.26051	0.40657	0.20328
83480315.26051	0.30492	0.17605
83480325.2605	0.60985	0.24897
83480335.26049	0.30492	0.17605
83480345.26049	0.40657	0.20328
83480355.26048	0.50821	0.22728
83480365.26047	0.50821	0.22728
83480375.26047	0.50821	0.22728
83480385.26046	0.60985	0.24897
83480395.26045	0.40657	0.20328
83480405.26045	0.50821	0.22728
83480415.26044	0.10164	0.10164
83480425.26043	0.10164	0.10164
83480435.26043	0.40657	0.20328
83480445.26042	0.30492	0.17605
83480455.26041	0.50821	0.22728
83480465.26041	0.40657	0.20328
83480475.2604	0.60985	0.24897
83480485.26039	0.40657	0.20328
83480495.26038	0.20328	0.14374
83480505.26038	1.01642	0.32142
83480515.26037	0.30492	0.17605
83480525.26036	0.81313	0.28749
83480535.26036	0.71149	0.26892
83480545.26035	0.40657	0.20328
83480555.26034	0.30492	0.17605
83480565.26034	0.40657	0.20328
83480575.26033	0.60985	0.24897
83480585.26032	0.30492	0.17605
83480595.26032	0.81313	0.28749
83480605.26031	0.10164	0.10164
83480615.2603	0.30492	0.17605
83480625.2603	0.50821	0.22728
83480635.26029	0.20328	0.14374
83480645.26028	0.50821	0.22728
83480655.26027	0.40657	0.20328
83480665.26027	0.30492	0.17605
83480675.26026	0.50821	0.22728
83480685.26025	0.30492	0.17605
83480695.26025	0.40657	0.20328
83480705.26024	0.30492	0.17605
83480715.26023	0.40657	0.20328
83480725.26023	0.40657	0.20328
83480735.26022	0.30492	0.17605
83480745.26021	0.40657	0.20328
83480755.26021	0.30492	0.17605
83480765.2602	0.50821	0.22728
83480775.26019	0.30492	0.17605
83480785.26018	0.40657	0.20328
83480795.26018	0.40657	0.20328
83480805.26017	0.40657	0.20328
83480815.26016	0.40657	0.20328
83480825.26016	0.30492	0.17605
83480835.26015	0.20328	0.14374
83480845.26014	0.30492	0.17605
83480855.26013	0.40657	0.20328
83480865.26013	0.40657	0.20328
83480875.26012	0.20328	0.14374
83480885.26011	0.71149	0.26892
83480895.26011	0.50821	0.22728
83480905.2601	0.50821	0.22728
83480915.26009	0.20328	0.14374
83480925.26009	0.40657	0.20328
83480935.26008	0.60985	0.24897
83480945.26007	0.40657	0.20328
83480955.26006	0.30492	0.17605
83480965.26006	0.40657	0.20328
83480975.26005	0.30492	0.17605
83480985.26004	0.40657	0.20328
83480995.26004	0.50821	0.22728
83481005.26003	0.30492	0.17605
83481015.26002	0.10164	0.10164
83481025.26001	0.30492	0.17605
83481035.26001	0.50821	0.22728
83481045.26	0.30492	0.17605
83481055.25999	0.30492	0.17605
83481065.25999	0.20328	0.14374
83481075.25998	0.30492	0.17605
83481085.25997	0.30492	0.17605
83481095.25996	0.30492	0.17605
83481105.25996	0.40657	0.20328
83481115.25995	0.60985	0.24897
83481125.25994	0.20328	0.14374
83481135.25993	0.60985	0.24897
83481145.25993	0.20328	0.14374
83481155.25992	0.20328	0.14374
83481165.25991	0.20328	0.14374
83481175.25991	0.30492	0.17605
83481185.2599	0.50821	0.22728
83481195.25989	0.50821	0.22728
83481205.25988	0.30492	0.17605
83481215.25988	0.30492	0.17605
83481225.25987	0.50821	0.22728
83481235.25986	0.60985	0.24897
83481245.25985	0.30492	0.17605
