PHASE	RATE1	ERROR1
0.000000000000000E+00	8.0976313E-01	7.6252244E-02
3.125000000000000E-02	6.9036072E-01	7.7772386E-02
6.250000000000000E-02	5.9995925E-01	7.5333476E-02
9.375000000000000E-02	8.1180489E-01	8.0568202E-02
1.250000000000000E-01	9.7185415E-01	7.6013185E-02
1.562500000000000E-01	1.1231291E+00	7.4011900E-02
1.875000000000000E-01	1.1465112E+00	7.4840397E-02
2.187500000000000E-01	1.3211161E+00	8.6678147E-02
2.500000000000000E-01	1.0263467E+00	8.3498470E-02
2.812500000000000E-01	1.1800510E+00	7.5975575E-02
3.125000000000000E-01	1.1240859E+00	7.8103721E-02
3.437500000000000E-01	1.0630064E+00	8.0356583E-02
3.750000000000000E-01	1.1790792E+00	7.9170682E-02
4.062500000000000E-01	1.3467219E+00	7.7620536E-02
4.375000000000000E-01	1.0558453E+00	8.0632463E-02
4.687500000000000E-01	1.0863520E+00	7.2870582E-02
5.000000000000000E-01	1.0363774E+00	7.6133460E-02
5.312500000000000E-01	9.6144569E-01	7.6691650E-02
5.625000000000000E-01	9.7133952E-01	7.4401744E-02
5.937500000000000E-01	9.4600713E-01	7.0415460E-02
6.250000000000000E-01	9.6225452E-01	7.3007770E-02
6.562500000000000E-01	8.9180702E-01	7.8080289E-02
6.875000000000000E-01	1.0325243E+00	7.1022153E-02
7.187500000000000E-01	9.4720125E-01	7.7922218E-02
7.500000000000000E-01	7.3710108E-01	7.8854047E-02
7.812500000000000E-01	9.2249274E-01	7.6326013E-02
8.125000000000000E-01	9.5505422E-01	7.2947763E-02
8.437500000000000E-01	1.0337619E+00	7.9370171E-02
8.750000000000000E-01	9.6198720E-01	7.8615554E-02
9.062500000000000E-01	1.2277519E+00	7.6110743E-02
9.375000000000000E-01	1.0534533E+00	8.0124788E-02
9.687500000000000E-01	8.2345468E-01	7.4011445E-02
