PHASE   RATE1   ERROR1
0.000000000000000E+00   7.2598982E-01   1.1369357E-01
3.125000000000000E-02   8.6052644E-01   1.2188043E-01
6.250000000000000E-02   7.0395213E-01   1.0336501E-01
9.375000000000000E-02   5.2434057E-01   1.1214834E-01
1.250000000000000E-01   8.4686416E-01   1.3627201E-01
1.562500000000000E-01   9.3158883E-01   1.1390586E-01
1.875000000000000E-01   1.0876561E+00   1.1856077E-01
2.187500000000000E-01   1.1367860E+00   1.2964176E-01
2.500000000000000E-01   1.3045161E+00   1.1216789E-01
2.812500000000000E-01   1.1945083E+00   1.1747211E-01
3.125000000000000E-01   8.8031709E-01   1.1331712E-01
3.437500000000000E-01   1.4596703E+00   1.1142351E-01
3.750000000000000E-01   1.5825300E+00   1.0505196E-01
4.062500000000000E-01   9.9670351E-01   1.3989963E-01
4.375000000000000E-01   1.4580364E+00   1.1512216E-01
4.687500000000000E-01   1.3053980E+00   9.9365734E-02
5.000000000000000E-01   1.0319350E+00   1.2979661E-01
5.312500000000000E-01   9.4421870E-01   1.1279459E-01
5.625000000000000E-01   9.2000598E-01   1.0619132E-01
5.937500000000000E-01   8.5121459E-01   1.2267316E-01
6.250000000000000E-01   9.3854988E-01   1.1774027E-01
6.562500000000000E-01   7.8534091E-01   1.1717768E-01
6.875000000000000E-01   9.7383094E-01   1.2148469E-01
7.187500000000000E-01   1.0177306E+00   1.1361229E-01
7.500000000000000E-01   7.5341427E-01   1.2061288E-01
7.812500000000000E-01   9.3939364E-01   1.1338224E-01
8.125000000000000E-01   9.8013842E-01   1.1688303E-01
8.437500000000000E-01   1.0223429E+00   1.1106510E-01
8.750000000000000E-01   1.1390686E+00   1.2042407E-01
9.062500000000000E-01   1.0102984E+00   1.1951745E-01
9.375000000000000E-01   7.5994331E-01   1.1351258E-01
9.687500000000000E-01   9.3319362E-01   1.0768658E-01
