PHASE   RATE1       ERROR1
0.000000000000000E+00   9.5558041E-01   1.1642549E-01
3.125000000000000E-02   7.1902299E-01   1.1675329E-01
6.250000000000000E-02   4.2195046E-01   1.3073558E-01
9.375000000000000E-02   5.7033598E-01   1.1864776E-01
1.250000000000000E-01   9.8556042E-01   1.1141013E-01
1.562500000000000E-01   1.1067612E+00   1.1983153E-01
1.875000000000000E-01   1.2349613E+00   1.1748937E-01
2.187500000000000E-01   1.0429347E+00   1.1284140E-01
2.500000000000000E-01   1.0865251E+00   1.1744308E-01
2.812500000000000E-01   1.6213778E+00   1.2183761E-01
3.125000000000000E-01   1.3513199E+00   1.1947291E-01
3.437500000000000E-01   1.2585742E+00   1.2165456E-01
3.750000000000000E-01   1.3085239E+00   1.3066919E-01
4.062500000000000E-01   9.5908755E-01   1.2910654E-01
4.375000000000000E-01   1.0092072E+00   1.2044573E-01
4.687500000000000E-01   1.1322459E+00   1.1381571E-01
5.000000000000000E-01   9.4429517E-01   1.2216002E-01
5.312500000000000E-01   8.5366911E-01   1.2129395E-01
5.625000000000000E-01   9.5639592E-01   1.2195166E-01
5.937500000000000E-01   9.1719735E-01   1.2706815E-01
6.250000000000000E-01   7.7862233E-01   1.2698101E-01
6.562500000000000E-01   8.2872820E-01   1.1971710E-01
6.875000000000000E-01   8.6020976E-01   1.2094729E-01
7.187500000000000E-01   7.8714567E-01   1.2312883E-01
7.500000000000000E-01   9.2158383E-01   1.2218098E-01
7.812500000000000E-01   1.0009493E+00   1.2579596E-01
8.125000000000000E-01   1.0744681E+00   1.2326479E-01
8.437500000000000E-01   1.1960336E+00   1.2777786E-01
8.750000000000000E-01   1.0203001E+00   1.3142388E-01
9.062500000000000E-01   1.0663934E+00   1.2705794E-01
9.375000000000000E-01   1.0803255E+00   1.3474840E-01
9.687500000000000E-01   9.4971406E-01   1.1808830E-01
