PHASE                   RATE1           ERROR1
0.000000000000000E+00   1.1170992E+00   2.7463707E-01
3.125000000000000E-02   1.2603815E+00   2.4976522E-01
6.250000000000000E-02   6.6329587E-01   2.4522735E-01
9.375000000000000E-02   3.6716354E-01   2.7385250E-01
1.250000000000000E-01   4.0047988E-01   2.3660980E-01
1.562500000000000E-01   4.2998591E-01   2.4456401E-01
1.875000000000000E-01   6.8889201E-01   2.5621498E-01
2.187500000000000E-01   1.1768745E+00   2.9032797E-01
2.500000000000000E-01   9.8542267E-01   2.4839798E-01
2.812500000000000E-01   1.1453174E+00   2.6145434E-01
3.125000000000000E-01   1.4892204E+00   2.5846073E-01
3.437500000000000E-01   1.0899371E+00   2.5241771E-01
3.750000000000000E-01   8.5688078E-01   3.0224764E-01
4.062500000000000E-01   1.2655398E+00   2.7165923E-01
4.375000000000000E-01   1.0198309E+00   2.8055781E-01
4.687500000000000E-01   1.0166336E+00   2.8065589E-01
5.000000000000000E-01   1.4929811E+00   2.8765166E-01
5.312500000000000E-01   1.5979239E+00   2.4686195E-01
5.625000000000000E-01   1.0385200E+00   2.7719676E-01
5.937500000000000E-01   7.8360879E-01   2.6476729E-01
6.250000000000000E-01   1.6945149E+00   2.5184226E-01
6.562500000000000E-01   8.9623696E-01   2.9912269E-01
6.875000000000000E-01   1.1824636E+00   2.2754711E-01
7.187500000000000E-01   3.9111894E-01   2.5912815E-01
7.500000000000000E-01   9.3830389E-01   2.7009362E-01
7.812500000000000E-01   1.7995859E+00   2.6774064E-01
8.125000000000000E-01   7.7957523E-01   2.6177704E-01
8.437500000000000E-01   7.6190138E-01   2.3805550E-01
8.750000000000000E-01   1.2941179E+00   2.2529529E-01
9.062500000000000E-01   3.9239082E-01   2.6334229E-01
9.375000000000000E-01   1.0620046E+00   2.5559759E-01
9.687500000000000E-01   9.2179811E-01   2.5324488E-01
