# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
50178.75527271334  0.11796296296  2.53830e+01  5.05843e-02  0.48666
50413.43055049112  0.18638888889  3.08742e+01  4.88991e-02  0.40089
50415.00916160223  0.47574074074  2.78593e+01  5.77550e-02  0.10160
50415.60943938000  0.07564814815  2.39205e+01  8.02751e-02  0.28397
51780.30768012074  0.11500000000  1.83612e+01  4.71591e-02  0.41546
51804.72323567628  0.21574074074  1.82664e+01  3.57354e-02  0.38369
51806.14295789851  0.50009259259  2.66353e+01  2.92782e-02  0.35956
51807.05268012073  0.40962962963  2.84244e+01  4.34270e-02  0.21293
51808.21629123185  0.37527777778  2.56945e+01  4.39867e-02  0.20479
51809.51869863925  0.50009259259  2.31247e+01  3.50420e-02  0.21792
51810.33434678739  0.31555555555  2.44063e+01  5.00474e-02  0.17870
54278.55453197257  0.01333333334  6.94246e+01  1.73586e-01  1.00000
55560.75332826886  0.50009259259  1.22406e+01  4.99197e-02  0.05684
55561.26203197256  0.00861111111  1.84174e+01  1.11253e-01  1.00000
55564.10638382442  0.28740740741  1.78401e+01  4.32167e-02  0.19233
55577.54684678737  0.50009259259  2.07856e+01  5.42753e-02  0.08165
55578.12073567626  0.07379629630  1.40800e+01  4.44694e-02  0.55834
55675.00536530589  0.01398148148  3.32763e+01  1.17360e-01  1.00000
55677.87573567627  0.01750000000  2.62796e+01  9.32220e-02  1.00000
55700.92823567626  0.01888888889  3.82846e+01  1.08302e-01  1.00000
55704.14249493553  0.00537037037  5.59485e+01  2.45539e-01  1.00000
55706.80703197256  0.01879629630  5.97777e+01  1.35663e-01  1.00000
55708.97064308367  0.01055555555  7.83428e+01  2.07246e-01  1.00000
55711.97434678738  0.01074074074  5.91301e+01  1.78491e-01  1.00000
55714.77416160219  0.01851851852  7.59595e+01  1.54069e-01  1.00000
55716.73305049108  0.01833333333  8.37269e+01  1.62982e-01  0.99495
55719.73786530590  0.01685185185  1.03083e+02  1.88147e-01  1.00000
55723.29314308367  0.50009259259  9.35286e+01  1.43467e-01  0.05258
55724.25518012072  0.46194444444  1.22582e+02  1.75409e-01  0.04991
55725.74480975034  0.01712962963  9.84032e+01  1.82330e-01  1.00000
55728.10425419478  0.00842592592  8.24214e+01  2.37925e-01  1.00000
55730.83990234293  0.01518518518  6.23461e+01  1.54143e-01  1.00000
55732.79758752811  0.01638888889  6.88689e+01  1.55943e-01  1.00000
55736.06018012071  0.01842592593  8.43499e+01  1.62763e-01  1.00000
55739.12879123182  0.01833333333  1.20700e+02  1.95191e-01  1.00000
55742.98064308367  0.01851851852  8.85549e+01  1.66353e-01  1.00000
55746.96619863923  0.01611111111  6.12612e+01  1.48340e-01  1.00000
55754.87055049108  0.01398148148  3.27381e+01  1.16407e-01  1.00000
55767.66601345404  0.01518518518  2.01787e+01  9.42415e-02  0.86585
55787.78416160219  0.00425925926  1.78084e+01  1.55551e-01  1.00000
55832.37999493552  0.50009259259  1.74412e+01  5.91087e-02  0.05777
55832.88777271330  0.00768518518  2.41414e+01  1.34829e-01  1.00000
55898.37221715775  0.01861111111  1.30300e+01  6.36524e-02  1.00000
55900.32842086145  0.01870370370  1.11994e+01  5.88656e-02  1.00000
