# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
50178.63768012074  0.00037037037  3.08307e+01  6.94067e-01  1.00000
50178.63842086148  0.00037037037  3.16451e+01  7.03175e-01  1.00000
50178.63916160223  0.00037037037  3.08020e+01  6.93744e-01  1.00000
50178.63990234297  0.00037037037  3.16336e+01  7.03047e-01  1.00000
50178.64064308371  0.00037037037  3.10163e+01  6.96154e-01  1.00000
50178.64138382445  0.00037037037  3.16998e+01  7.03782e-01  1.00000
50178.64212456519  0.00037037037  3.06985e+01  6.92577e-01  1.00000
50178.64286530593  0.00037037037  3.01003e+01  6.85797e-01  1.00000
50178.64360604667  0.00037037037  3.13290e+01  6.99654e-01  1.00000
50178.64434678741  0.00037037037  2.97903e+01  6.82256e-01  1.00000
50178.64508752815  0.00037037037  3.11080e+01  6.97181e-01  1.00000
50178.64582826889  0.00037037037  3.10544e+01  6.96581e-01  1.00000
50178.64656900964  0.00037037037  2.98617e+01  6.83074e-01  1.00000
50178.64730975038  0.00037037037  2.96720e+01  6.80900e-01  1.00000
50178.64805049112  0.00037037037  2.93469e+01  6.77159e-01  1.00000
50178.64879123186  0.00037037037  3.01884e+01  6.86800e-01  1.00000
50178.64953197259  0.00037037037  3.05342e+01  6.90722e-01  1.00000
50178.65027271334  0.00037037037  2.99742e+01  6.84359e-01  1.00000
50178.65101345408  0.00037037037  2.99015e+01  6.83528e-01  1.00000
50178.65175419482  0.00037037037  2.96551e+01  6.80706e-01  1.00000
50178.65249493556  0.00037037037  2.94158e+01  6.77954e-01  1.00000
50178.65323567631  0.00037037037  2.94583e+01  6.78443e-01  1.00000
50178.65397641704  0.00037037037  2.98641e+01  6.83101e-01  1.00000
50178.65471715778  0.00037037037  2.81643e+01  6.63376e-01  1.00000
50178.65545789852  0.00037037037  2.88142e+01  6.70986e-01  1.00000
50178.65619863926  0.00037037037  2.85245e+01  6.67604e-01  1.00000
50178.65693938000  0.00037037037  3.00635e+01  6.85377e-01  1.00000
50178.65768012075  0.00037037037  2.71853e+01  6.51744e-01  1.00000
50178.65842086149  0.00037037037  2.98982e+01  6.83490e-01  1.00000
50178.65916160223  0.00037037037  2.91218e+01  6.74558e-01  1.00000
50178.65980975037  0.00027777778  2.79572e+01  7.63178e-01  1.00000
50178.70453197259  0.00037037037  2.88752e+01  6.71695e-01  1.00000
50178.70527271334  0.00037037037  2.79464e+01  6.60805e-01  1.00000
50178.70601345408  0.00037037037  2.81184e+01  6.62834e-01  1.00000
50178.70675419482  0.00037037037  2.80111e+01  6.61569e-01  1.00000
50178.70749493556  0.00037037037  2.80411e+01  6.61923e-01  1.00000
50178.70823567630  0.00037037037  2.91791e+01  6.75220e-01  1.00000
50178.70897641705  0.00037037037  2.80335e+01  6.61834e-01  1.00000
50178.70971715778  0.00037037037  2.68454e+01  6.47657e-01  1.00000
50178.71045789852  0.00037037037  2.76020e+01  6.56720e-01  1.00000
50178.71119863926  0.00037037037  2.86065e+01  6.68563e-01  1.00000
50178.71193938000  0.00037037037  2.70814e+01  6.50497e-01  1.00000
50178.71268012075  0.00037037037  2.76429e+01  6.57207e-01  1.00000
50178.71342086149  0.00037037037  2.74990e+01  6.55493e-01  1.00000
50178.71416160223  0.00037037037  2.65382e+01  6.43941e-01  1.00000
50178.71490234297  0.00037037037  2.80910e+01  6.62512e-01  1.00000
50178.71564308371  0.00037037037  2.61663e+01  6.39412e-01  1.00000
50178.71638382445  0.00037037037  2.65674e+01  6.44295e-01  1.00000
