PHASE   RATE1   ERROR1
1.562500000000000E-01   1.1856009E+00   3.3620596E-03
1.875000000000000E-01   1.1948396E+00   4.3738685E-03
2.500000000000000E-01   1.1935856E+00   2.7881113E-03
2.812500000000000E-01   1.1482561E+00   2.7214955E-03
3.125000000000000E-01   1.1681637E+00   5.5918819E-03
3.437500000000000E-01   1.2142315E+00   2.5094722E-03
3.750000000000000E-01   1.0634793E+00   2.4802187E-03
4.062500000000000E-01   1.0774542E+00   5.4928111E-03
4.375000000000000E-01   1.0424640E+00   6.9907987E-03
5.312500000000000E-01   8.0292732E-01   1.4919843E-02
5.625000000000000E-01   7.6646131E-01   2.2995863E-03
5.937500000000000E-01   7.4286014E-01   4.8680757E-03
6.562500000000000E-01   8.1105536E-01   2.5131644E-03
6.875000000000000E-01   9.1236204E-01   5.2684108E-03
7.500000000000000E-01   8.3373207E-01   2.8641189E-03
7.812500000000000E-01   8.9575994E-01   5.3640399E-03
8.437500000000000E-01   9.3125284E-01   3.2649983E-03
8.750000000000000E-01   1.0155128E+00   5.6790765E-03
