PHASE   RATE1           ERROR1
0.000000000000000E+00   8.2147694E-01   2.7844829E-03
3.125000000000000E-02   6.6607493E-01   2.7155722E-03
6.250000000000000E-02   7.1916252E-01   2.3903609E-03
9.375000000000000E-02   7.0833910E-01   2.2098387E-03
1.250000000000000E-01   9.2844963E-01   2.9639744E-03
1.562500000000000E-01   1.1008627E+00   3.2705956E-03
1.875000000000000E-01   9.3958122E-01   2.4231169E-03
2.187500000000000E-01   9.8655272E-01   2.7955326E-03
2.500000000000000E-01   1.0820656E+00   3.8548280E-03
2.812500000000000E-01   9.5584154E-01   2.4155814E-03
3.125000000000000E-01   1.0954605E+00   2.8057965E-03
3.437500000000000E-01   1.1389420E+00   3.8472957E-03
3.750000000000000E-01   1.1718794E+00   3.1917247E-03
4.062500000000000E-01   1.2002763E+00   2.9038838E-03
4.375000000000000E-01   1.2729985E+00   3.8322930E-03
4.687500000000000E-01   1.1074585E+00   4.2207986E-03
5.000000000000000E-01   1.1705877E+00   2.7391270E-03
5.312500000000000E-01   1.0605952E+00   3.1486936E-03
5.625000000000000E-01   1.0356472E+00   6.1788191E-03
5.937500000000000E-01   1.0236808E+00   2.8524103E-03
6.250000000000000E-01   9.3538612E-01   3.2703027E-03
6.562500000000000E-01   7.3692465E-01   4.8580957E-03
6.875000000000000E-01   9.2979133E-01   2.8882406E-03
7.187500000000000E-01   8.2170713E-01   3.1828298E-03
7.500000000000000E-01   9.0117896E-01   4.6351082E-03
7.812500000000000E-01   9.5997185E-01   3.2211596E-03
8.125000000000000E-01   1.5493685E+00   3.4941332E-03
8.437500000000000E-01   9.8166490E-01   3.5809474E-03
8.750000000000000E-01   1.1333976E+00   3.8121601E-03
9.062500000000000E-01   9.5818037E-01   3.2980000E-03
9.375000000000000E-01   8.6840981E-01   3.7093083E-03
9.687500000000000E-01   1.0380825E+00   2.9697658E-03
