PHASE   RATE1   ERROR1
0.000000000000000E+00   8.3302259E-01   2.8236182E-03
3.125000000000000E-02   6.7543650E-01   2.7537390E-03
6.250000000000000E-02   7.2927022E-01   2.4239568E-03
9.375000000000000E-02   7.1829468E-01   2.2408974E-03
1.250000000000000E-01   9.4149882E-01   3.0056324E-03
1.562500000000000E-01   1.1163352E+00   3.3165631E-03
1.875000000000000E-01   9.5278686E-01   2.4571733E-03
2.187500000000000E-01   1.0004185E+00   2.8348232E-03
2.500000000000000E-01   1.0972737E+00   3.9090067E-03
2.812500000000000E-01   9.6927565E-01   2.4495318E-03
3.125000000000000E-01   1.1013057E+00   2.7637959E-03
3.437500000000000E-01   1.1549495E+00   3.9013687E-03
3.750000000000000E-01   1.1883500E+00   3.2365837E-03
4.062500000000000E-01   1.2171459E+00   2.9446974E-03
4.375000000000000E-01   1.2908901E+00   3.8861551E-03
4.687500000000000E-01   1.1230235E+00   4.2801211E-03
5.000000000000000E-01   1.1870401E+00   2.7776249E-03
5.312500000000000E-01   1.0755017E+00   3.1929477E-03
5.625000000000000E-01   1.0502030E+00   6.2656612E-03
5.937500000000000E-01   9.8773497E-01   2.5251950E-03
6.250000000000000E-01   9.3496728E-01   3.0556028E-03
6.562500000000000E-01   7.4728197E-01   4.9263751E-03
6.875000000000000E-01   8.9454556E-01   2.5212162E-03
7.187500000000000E-01   7.9885000E-01   2.8315708E-03
7.500000000000000E-01   9.1384482E-01   4.7002533E-03
7.812500000000000E-01   9.5405531E-01   2.8019003E-03
8.125000000000000E-01   1.4489431E+00   3.0736055E-03
8.437500000000000E-01   9.9546200E-01   3.6312770E-03
8.750000000000000E-01   1.0649621E+00   3.3015029E-03
9.062500000000000E-01   9.0404075E-01   2.8318879E-03
9.375000000000000E-01   8.8061517E-01   3.7614417E-03
9.687500000000000E-01   1.0526725E+00   3.0115051E-03
