Time	Count	Error
50176.63275115757	19.31955	0.72704166
50176.63293635884	20.166145	0.7388768
50176.63312156011	18.47318	0.71500736
50176.6333067614	18.642374	0.7173133
50176.633491962704	19.190355	0.72536874
50176.63367716402	19.169176	0.7244993
50176.63386236534	19.423716	0.72848225
50176.63404756668	20.7637	0.74715215
50176.634232768025	19.942003	0.7356783
50176.63441796938	19.618252	0.73096895
50176.63460317073	19.724606	0.73237103
50176.63478837209	20.4532	0.74290305
50176.63497357345	20.277359	0.74076927
50176.63515877481	18.980827	0.72248936
50176.63534397617	21.11075	0.7520053
50176.63552917753	18.947458	0.7217904
50176.635714378885	19.741863	0.7327075
50176.63589958024	20.112476	0.7384765
50176.63608478158	22.278742	0.7679954
50176.63626998292	19.932877	0.7358061
50176.63645518425	19.125816	0.72453004
50176.636640385565	20.168148	0.7394229
50176.636825586866	19.428028	0.7290034
50176.63701078816	19.70617	0.733209
50176.63719598944	18.612862	0.7171455
50176.6373811907	20.28128	0.7407147
50176.637566391946	20.46717	0.7438508
50176.63775159317	20.533983	0.74463636
50176.637936794374	20.387817	0.74266726
50176.63812199556	18.97363	0.7231788
50176.63830719672	19.310568	0.7283347
50176.638492397855	19.862299	0.73621726
50176.63867759897	19.711596	0.73428917
50176.63886280006	20.678408	0.74775976
50176.63904800111	19.514082	0.73185563
50176.639233202135	19.9645	0.73824215
50176.63941840314	21.279858	0.7564459
50176.6396036041	19.979904	0.73860186
50176.63978880503	21.034994	0.7536052
50176.63997400593	21.664665	0.76184326
50176.640159206785	19.680798	0.7352982
50176.64034440761	21.15676	0.75587827
50176.6405296084	20.568256	0.74814206
50176.64071480914	20.00362	0.739993
50176.64090000984	20.17131	0.7422421
50176.641085210504	21.024614	0.75430965
50176.64127041113	20.467976	0.74668586
50176.6414556117	19.38864	0.73188186
50176.64164081223	19.751469	0.73719066
50176.64182601271	19.917522	0.73947114
50176.642011213145	19.876492	0.73889494
50176.64219641353	19.959904	0.7400281
50176.64238161386	19.577858	0.735009
50176.64256681415	19.537374	0.7344217
50176.642752014384	20.998713	0.75466317
50176.64293721456	20.340103	0.745608
50176.64312241469	18.492222	0.71946573
50176.64330761475	19.372202	0.7321131
50176.643492814765	20.606867	0.7493108
50176.64367801472	21.002739	0.7546083
50176.64386321462	19.046312	0.7274109
50176.644048414455	20.25372	0.7445244
50176.64423361423	20.207504	0.744024
50176.64441881394	20.542063	0.74850255
50176.64460401359	20.35098	0.7460266
50176.644789213184	20.164557	0.7434779
50176.64497441271	18.744938	0.7235024
50176.64515961217	19.610699	0.73570293
50176.645344811564	18.2424	0.71654975
50176.645530010894	20.135967	0.74330324
50176.64571521016	19.030447	0.7276355
50176.64590040935	19.168964	0.7297531
50176.646085608474	19.947245	0.74077713
50176.646270807534	19.365015	0.73279333
50176.646456006514	20.378662	0.7467814
50176.64664120543	21.11301	0.75703466
50176.64682640427	20.185783	0.74432456
50176.64701160305	20.594622	0.7500449
50176.64719680174	20.021364	0.74203634
50176.64738200037	20.202229	0.7446669
50176.64756719892	20.48583	0.74870944
50176.64775239739	20.771269	0.75270516
50176.64793759579	19.195347	0.7311235
50176.64812279412	19.012144	0.72847706
50176.648307992364	21.379814	0.7612388
50176.648493190536	20.218796	0.74557656
50176.648678388636	19.820679	0.7402457
50176.64886358665	20.72593	0.7527619
50176.64904878459	18.671799	0.72395694
50176.649233982454	20.657246	0.75201046
50176.649419180234	19.841942	0.740523
50176.64960437794	21.432934	0.7627478
50176.64978957557	20.611355	0.7515105
50176.649974773114	20.594788	0.7517375
50176.65015997057	19.260082	0.73311013
50176.65034516796	20.701092	0.7531016
50176.65053036527	21.626682	0.76568806
50176.65071556249	19.298603	0.7337261
50176.65090075964	19.79331	0.7406264
50176.651085956706	20.102648	0.74490464
50176.651271153685	20.153181	0.7459138
50176.65145635059	19.487514	0.73627377
50176.65164154741	21.094019	0.75841254
50176.65182674416	19.791151	0.74065644
50176.652011940816	21.24213	0.76031446
50176.652197137395	21.427574	0.7628202
50176.652382333894	20.149494	0.74539584
50176.65256753031	20.291752	0.74741155
50176.652752726644	19.421642	0.7354662
50176.6529379229	19.878664	0.74173
50176.65312311908	18.747501	0.7258076
50176.65330831517	20.048817	0.7439397
50176.65349351119	19.119814	0.73102695
50176.65367870713	19.457363	0.7355428
50176.65386390298	20.032967	0.74358875
50176.65404909876	18.878035	0.72746056
50176.65423429446	21.418762	0.76238286
50176.65441949008	20.915949	0.75523025
50176.65460468562	21.514862	0.76331
50176.65478988108	19.783474	0.7396169
50176.655160271774	19.760706	0.7387863
50176.65534546701	18.235275	0.7172438
50176.65553066216	22.697199	0.7783336
50176.65571585724	20.16638	0.744023
50176.65590105224	20.017282	0.7415211
50176.65608624717	20.678093	0.7505954
50176.65627144202	18.621944	0.7217328
50176.656456636796	20.367567	0.7457976
50176.656641831505	19.52526	0.7340138
50176.65682702614	20.42043	0.74620515
50176.6570122207	19.562782	0.7340653
