TIME	RATE	ERROR
51498.05337	3.0	1.73205
51498.05339	3.0	1.73205
51498.0534	3.0	1.73205
51498.05341	4.0	2.0
51498.05343	1.0	1.0
51498.05344	3.0	1.73205
51498.05345	5.0	2.23607
51498.05346	4.0	2.0
51498.05347	1.0	1.0
51498.05348	4.0	2.0
51498.05349	5.0	2.23607
51498.05351	4.0	2.0
51498.05352	3.0	1.73205
51498.05353	7.0	2.64575
51498.05354	4.0	2.0
51498.05355	3.0	1.73205
51498.05356	4.0	2.0
51498.05358	4.0	2.0
51498.05359	6.0	2.44949
51498.0536	4.0	2.0
51498.05361	4.0	2.0
51498.05362	4.0	2.0
51498.05363	3.0	1.73205
51498.05365	3.0	1.73205
51498.05366	3.0	1.73205
51498.05367	4.0	2.0
51498.05368	4.0	2.0
51498.05369	3.0	1.73205
51498.0537	2.0	1.41421
51498.05371	3.0	1.73205
51498.05373	2.0	1.41421
51498.05374	5.0	2.23607
51498.05375	1.0	1.0
51498.05376	1.0	1.0
51498.05377	2.0	1.41421
51498.05378	6.0	2.44949
51498.0538	6.0	2.44949
51498.05381	2.0	1.41421
51498.05382	2.0	1.41421
51498.05383	6.0	2.44949
51498.05384	3.0	1.73205
51498.05387	6.0	2.44949
51498.05388	3.0	1.73205
51498.05389	6.0	2.44949
51498.0539	6.0	2.44949
51498.05391	6.0	2.44949
51498.05392	1.0	1.0
51498.05393	7.0	2.64575
51498.05395	1.0	1.0
51498.05396	1.0	1.0
51498.05397	7.0	2.64575
51498.05398	3.0	1.73205
51498.05399	5.0	2.23607
51498.054	5.0	2.23607
51498.05403	4.0	2.0
51498.05404	2.0	1.41421
51498.05405	4.0	2.0
51498.05406	2.0	1.41421
51498.05407	4.0	2.0
51498.05409	5.0	2.23607
51498.0541	7.0	2.64575
51498.05411	5.0	2.23607
51498.05412	4.0	2.0
51498.05413	7.0	2.64575
51498.05414	4.0	2.0
51498.05415	8.0	2.82843
51498.05417	2.0	1.41421
51498.05418	5.0	2.23607
51498.05419	4.0	2.0
51498.0542	2.0	1.41421
51498.05421	5.0	2.23607
51498.05422	5.0	2.23607
51498.05424	5.0	2.23607
51498.08449	3.0	1.73205
51498.0845	5.0	2.23607
51498.08451	9.0	3.0
51498.08452	3.0	1.73205
51498.08453	6.0	2.44949
51498.08455	4.0	2.0
51498.08456	6.0	2.44949
51498.08457	7.0	2.64575
51498.08458	6.0	2.44949
51498.08459	1.0	1.0
51498.0846	3.0	1.73205
51498.08461	1.0	1.0
51498.08463	6.0	2.44949
51498.08464	6.0	2.44949
51498.08465	4.0	2.0
51498.08466	3.0	1.73205
51498.08467	6.0	2.44949
51498.08468	4.0	2.0
51498.0847	4.0	2.0
51498.08471	2.0	1.41421
51498.08472	4.0	2.0
51498.08473	2.0	1.41421
51498.08474	1.0	1.0
51498.08475	6.0	2.44949
51498.08477	6.0	2.44949
51498.08478	6.0	2.44949
51498.08479	4.0	2.0
51498.0848	3.0	1.73205
51498.08481	5.0	2.23607
51498.08482	4.0	2.0
51498.08483	5.0	2.23607
51498.08485	3.0	1.73205
51498.08486	1.0	1.0
51498.08487	5.0	2.23607
51498.08488	1.0	1.0
51498.08489	9.0	3.0
51498.0849	6.0	2.44949
51498.08492	5.0	2.23607
51498.08493	8.0	2.82843
51498.08494	4.0	2.0
51498.08495	8.0	2.82843
51498.08496	6.0	2.44949
51498.08497	4.0	2.0
51498.08499	4.0	2.0
51498.085	5.0	2.23607
51498.08501	4.0	2.0
51498.08502	2.0	1.41421
51498.08503	3.0	1.73205
51498.08504	5.0	2.23607
51498.08505	8.0	2.82843
51498.08507	3.0	1.73205
51498.08508	3.0	1.73205
51498.08509	2.0	1.41421
51498.0851	6.0	2.44949
51498.08511	6.0	2.44949
51498.08512	2.0	1.41421
51498.08514	6.0	2.44949
51498.08515	3.0	1.73205
51498.08516	8.0	2.82843
51498.08517	11.0	3.31662
51498.08518	5.0	2.23607
51498.08519	5.0	2.23607
51498.0852	6.0	2.44949
51498.08522	5.0	2.23607
51498.08523	3.0	1.73205
51498.08524	7.0	2.64575
51498.08525	5.0	2.23607
51498.08526	4.0	2.0
51498.08527	3.0	1.73205
51498.08529	3.0	1.73205
51498.0853	2.0	1.41421
51498.08531	3.0	1.73205
51498.08532	6.0	2.44949
51498.08533	5.0	2.23607
51498.08534	5.0	2.23607
51498.08536	5.0	2.23607
51498.08537	7.0	2.64575
51498.08538	1.0	1.0
51498.08539	3.0	1.73205
51498.0854	5.0	2.23607
51498.08541	1.0	1.0
51498.08542	7.0	2.64575
51498.08544	1.0	1.0
51498.08545	5.0	2.23607
