TIME	RATE	ERROR
45881.09511	-0.13263	0.13263
45881.09516	0.67056	0.67056
45881.0952	0.64218	0.64218
45881.09525	0.57431	0.57431
45881.09529	0.46065	0.46065
45881.09543	0.43297	0.43297
45881.09548	0.42535	0.42535
45881.09557	1.12478	0.79534
45881.09562	0.58134	0.58134
45881.09571	0.56466	0.56466
45881.09585	1.21938	0.86223
45881.09599	0.51109	0.51109
45881.09608	0.60776	0.60776
45881.09622	-0.15709	0.15709
45881.09673	0.66371	0.66371
45881.09691	0.62979	0.62979
45881.09742	-0.13734	0.13734
45881.09752	0.54942	0.54942
45881.09775	0.73029	0.73029
45881.09779	1.46178	1.03364
45881.09784	0.59109	0.59109
45881.09793	1.10907	0.78423
45881.09807	0.54084	0.54084
45881.09812	1.09533	0.77451
45881.09826	0.97026	0.68608
45881.09835	0.53369	0.53369
45881.09849	0.60994	0.60994
45881.09854	0.68897	0.68897
45881.09877	0.57181	0.74472
45881.09886	0.70186	0.70186
45881.099	0.71278	0.71278
45881.09904	1.08149	0.76473
45881.09918	0.52471	0.52471
45881.09923	1.39577	0.98696
45881.09951	0.68573	0.68573
45881.09955	0.55688	0.55688
45881.09969	-0.13735	0.13735
45881.10011	0.53193	0.69278
45881.10094	0.71242	0.71242
45881.10141	0.731	0.731
45881.10159	0.67859	0.67859
45881.10164	0.6423	0.6423
45881.10168	0.62997	0.62997
45881.10192	-0.15693	0.15693
45881.10196	1.06635	0.75402
45881.10201	0.65032	0.65032
45881.10238	0.67662	0.67662
45881.10567	0.99604	0.7043
45881.10571	0.55534	0.55534
45881.1059	-0.12975	0.09175
45881.10608	0.92454	0.53378
45881.10613	0.30719	0.30719
45881.10617	0.23749	0.3093
45881.10627	0.3088	0.3088
45881.10631	0.30202	0.30202
45881.10641	1.28135	0.64068
45881.10659	0.3121	0.3121
45881.10664	0.31796	0.31796
45881.10673	0.32052	0.32052
45881.10678	0.61289	0.43338
45881.10687	-0.06691	0.06691
45881.10692	0.30897	0.30897
45881.10701	0.64647	0.45712
45881.10705	0.31025	0.31025
45881.1071	0.60506	0.42784
45881.10715	0.31268	0.31268
45881.10719	0.6044	0.42737
45881.10724	-0.06535	0.06535
45881.10729	0.92916	0.53645
45881.10733	0.30476	0.30476
45881.10738	0.31778	0.31778
45881.10742	0.3074	0.3074
45881.10747	0.30189	0.30189
45881.10761	0.30182	0.30182
45881.1077	-0.06468	0.06468
45881.10775	0.30183	0.30183
45881.1078	0.60285	0.42628
45881.10789	0.32717	0.32717
45881.10798	0.30256	0.30256
45881.10803	0.30166	0.30166
45881.10817	0.60454	0.42747
45881.10821	0.53841	0.43138
45881.1083	0.30963	0.30963
45881.10835	0.31226	0.31226
45881.1084	0.61624	0.43575
45881.10844	0.32279	0.32279
45881.10854	0.32203	0.32203
45881.10858	0.68309	0.48301
45881.10863	0.32645	0.32645
45881.10867	0.62	0.43841
45881.10872	0.69549	0.49179
45881.10877	0.65424	0.46262
45881.10881	-0.06485	0.06485
45881.10886	0.63173	0.4467
45881.10891	0.33122	0.33122
45881.109	-0.07415	0.07415
45881.10905	0.3157	0.3157
45881.10909	0.63015	0.44558
45881.10918	0.32002	0.32002
45881.10923	0.65516	0.46327
45881.10937	0.33924	0.33924
45881.10942	0.38406	0.38406
45881.10946	1.28508	0.74194
45881.1096	-0.07863	0.07863
45881.10965	0.48315	0.48315
45881.10969	0.68785	0.68785
45881.10974	-0.11403	0.11403
45881.10983	0.55822	0.55822
45881.10997	-0.08424	0.08424
45881.11006	-0.10983	0.10983
45881.11016	0.52886	0.52886
45881.11025	0.37354	0.37354
45881.11034	1.29679	0.7487
45881.11043	0.40188	0.40188
45881.11057	1.01913	0.72063
45881.11076	-0.09502	0.09502
45881.1108	0.49011	0.49011
45881.11085	0.48224	0.48224
45881.11113	0.35854	0.35854
45881.11117	0.96949	0.68553
45881.11122	0.41993	0.41993
45881.11127	0.42287	0.42287
45881.11131	0.4539	0.4539
45881.11159	0.4436	0.4436
45881.11168	0.88822	0.62807
45881.11215	-0.14344	0.14344
45881.11219	-0.1178	0.1178
45881.11233	0.53793	0.53793
45881.11238	0.72965	0.72965
