Time	CountRate	Error
47456.80793471594	246.30702	6.5567656
47456.8570049044	299.0113	7.128726
47456.857375245294	296.3385	7.036587
47456.85756041574	303.42596	7.1021776
47456.85774558665	282.77826	7.0332513
47456.85793075709	295.3556	7.126131
47456.858115927535	304.95636	7.126598
47456.858301097986	295.54172	7.079568
47456.85848626843	286.70123	6.9758835
47456.85867143887	273.08905	6.985062
47456.85885660978	264.78806	6.858039
47456.859041780226	268.60373	6.871401
47456.85922695067	254.18889	6.810153
47456.85941212112	267.7506	6.892164
47456.859597291565	262.72134	6.9189076
47456.85978246201	268.8059	6.9526343
47456.85996763245	267.22372	6.9308352
47456.86015280336	269.55173	6.9517827
47456.860337973805	263.78464	6.9603806
47456.86052314425	275.28897	6.95155
47456.8607083147	255.51581	6.8729076
47456.86089348514	259.25323	6.9078827
47456.86107865559	263.74417	6.9092035
47456.8612638265	258.12424	6.8823676
47456.86144899694	266.89212	6.892025
47456.861634167384	261.16272	6.946366
47456.86181933783	255.24315	6.8838577
47456.86200450828	250.94958	6.803805
47456.86218967872	264.2206	6.921598
47456.86237484917	259.43195	6.941849
47456.862560020076	269.34186	6.97632
47456.86274519052	279.13486	6.9825974
47456.86293036096	265.9233	6.8655276
47456.86311553141	273.50806	7.0087504
47456.86330070185	271.4756	6.8772745
47456.863485872294	261.5773	6.896022
47456.863671043204	275.67093	6.975017
47456.86385621365	259.9474	6.9096065
47456.8640413841	266.50305	6.9399247
47456.86422655454	282.98102	7.0321913
47456.864411724986	281.8826	6.9672904
47456.86459689543	263.98654	6.8768916
47456.86478206634	268.44495	6.8976336
47456.86496723678	280.20233	6.9554653
47456.86515240723	280.69827	6.9502115
47456.86533757767	311.0407	7.1575685
47456.865522748114	284.35703	7.032778
47456.86570791856	292.49683	7.053453
47456.865893089	301.41644	7.1527734
47456.86607825991	318.76077	7.163986
47456.866263430355	311.63077	7.1248612
47456.8664486008	311.60098	7.128761
47456.86663377124	297.7865	7.0574465
47456.866818941686	299.5137	7.1075554
47456.86700411213	301.42563	7.1098447
47456.86718928304	324.91855	7.200421
47456.86737445348	319.16266	7.1872783
47456.867559623926	315.03073	7.0979366
47456.86774479437	322.53555	7.187625
47456.867929964814	333.72675	7.239171
47456.86811513526	305.69284	7.1335435
47456.86830030617	310.06915	7.0953317
47456.86848547661	296.68875	7.0083427
47456.868670647054	308.57748	7.0944905
47456.8688558175	307.04663	7.0465903
47456.86904098794	307.60947	7.054944
47456.869226158386	308.7811	7.1332903
47456.86941132883	316.6436	7.140367
47456.86959649974	331.14624	7.2695513
47456.86978167018	314.51047	7.177343
47456.869966840626	322.96564	7.2212453
47456.87015201107	330.33844	7.2839704
47456.87033718151	342.59412	7.280492
47456.87052235196	323.42535	7.1386185
47456.87070752287	339.47903	7.2780113
47456.87089269331	334.8157	7.2247376
47456.871077863754	325.2087	7.174814
47456.8712630342	318.93277	7.179374
47456.87144820464	333.62888	7.2599974
47456.871633375085	325.79672	7.2219534
47456.87181854553	323.64362	7.1826
47456.87200371644	322.4975	7.140549
47456.872188886875	320.29095	7.1820154
47456.87237405732	360.30917	7.3411694
47456.87255922776	336.97986	7.2526627
47456.872744398206	341.00134	7.2177143
47456.87292956865	340.0763	7.242092
47456.87311473956	314.41965	7.082373
47456.87329991	337.71426	7.247404
47456.87348508045	321.7554	7.1573706
47456.87367025089	336.96045	7.2184405
47456.873855421334	321.58057	7.162851
47456.87404059177	320.0572	7.051208
47456.87422576268	334.0665	7.2235103
47456.874410933124	328.19977	7.1403856
47456.87459610357	311.68896	7.0949254
47456.92070356118	279.00345	6.8763123
47456.92088873162	271.5663	6.7829995
47456.92107390206	294.26266	6.8477397
47456.92125907249	278.2515	6.856173
47456.921444243395	280.35495	6.891126
47456.92162941383	284.44324	6.9114947
47456.92181458427	270.0089	6.829484
47456.921999754704	274.23032	6.7842484
47456.92218492514	268.64114	6.7262225
47456.92237009558	261.1598	6.711634
47456.92255526648	263.5774	6.781775
47456.922740436916	277.5077	6.8611526
47456.92292560735	270.83035	6.782228
47456.92311077779	275.37097	6.766578
47456.923295948225	255.0009	6.7563634
47456.923481118654	257.64267	6.692101
47456.92366628909	254.12048	6.632141
47456.92385145999	263.07822	6.6829896
47456.92403663043	250.77495	6.6304374
47456.924221800866	240.73402	6.5924
47456.9244069713	251.87056	6.6202455
47456.92459214174	239.51881	6.557995
47456.924777312175	255.90573	6.641833
47456.92496248308	244.27075	6.5770698
47456.925147653514	250.65532	6.669002
47456.92533282395	252.46024	6.673429
47456.92551799439	254.06377	6.7323093
47456.925703164816	250.34558	6.6996326
47456.92588833525	244.85672	6.5958424
47456.92607350569	251.267	6.6184006
47456.92625867659	241.70604	6.5615864
47456.92644384703	233.11243	6.6070547
47456.926629017464	257.12402	6.7041736
47456.9268141879	255.40727	6.716284
47456.92699935834	253.10645	6.638144
47456.927184528766	254.15965	6.6484623
47456.92736969967	263.2151	6.699337
47456.927554870104	246.26263	6.68267
47456.92774004054	260.5883	6.7883754
47456.92792521098	267.25128	6.7405996
47456.928110381414	279.0093	6.8536563
47456.92829555185	258.3014	6.774331
47456.928480722745	284.95453	6.896445
47456.92866589318	261.83618	6.7802424
47456.92885106362	258.4519	6.7509155
47456.929036234054	257.0647	6.743611
47456.92922140449	256.661	6.7161527
47456.92940657493	256.50934	6.718557
47456.92959174536	249.45473	6.682631
47456.92977691626	261.59988	6.7160797
47456.929962086695	244.49992	6.6796103
47456.93014725713	261.39505	6.640614
47456.93033242757	261.32794	6.704356
47456.930517598	247.65326	6.734312
47456.93070276843	283.52878	6.771726
47456.930887939336	261.6253	6.7297626
47456.93107310977	266.24158	6.7380867
47456.93125828021	243.47551	6.5848145
47456.93144345064	265.75845	6.739542
47456.931628621074	256.25003	6.6854334
47456.935517202066	281.08633	6.8576603
47456.935702372495	276.35068	6.8005548
47456.93588754293	282.7077	6.769062
47456.93607271337	292.0522	6.865161
47456.9362578838	279.35165	6.7870336
47456.936443054234	281.51904	6.8489113
47456.93662822467	277.86502	6.8596635
47456.936813395565	296.5465	6.8776016
47456.936998566	292.63913	6.8763313
47456.93718373644	292.0791	6.878633
47456.93736890687	282.64948	6.8120356
47456.9375540773	278.9239	6.7997265
47456.93773924774	307.94165	6.9441857
47456.937924418635	278.69208	6.718077
47456.93810958907	291.07672	6.851509
47456.93829475951	288.10135	6.831522
47456.93847992994	294.7391	6.867992
47456.93866510037	272.17413	6.781694
47456.93885027081	283.3775	6.88962
47456.939035441705	284.0855	6.8594475
47456.93922061214	316.34857	7.0176544
47456.93940578258	302.83994	6.9424686
47456.93959095301	294.14926	6.880351
47456.93977612344	289.2368	6.8957806
47456.93996129387	293.7687	6.9121137
47456.94014646431	304.31052	6.9835577
47456.94033163521	275.8158	6.793091
47456.94051680564	281.7516	6.7660317
47456.94070197608	284.75504	6.8243084
47456.940887146506	293.51782	6.8740287
47456.94107231694	284.5963	6.8546877
47456.94125748738	290.70328	6.886156
47456.94144265827	297.40018	6.8751426
47456.94162782871	294.19385	6.9176936
47456.978476758886	317.20288	6.997215
47456.978661929315	307.59723	6.9375296
47456.978847099745	308.8111	6.966175
47456.97903227017	322.2116	7.035731
47456.97921744106	310.10236	7.0482965
47456.97940261149	306.2436	6.9637856
47456.97958778192	297.88696	6.8993464
47456.97977295235	297.6342	6.876868
47456.97995812278	307.51923	6.959496
47456.98014329321	276.1153	6.7906938
47456.980328464095	275.9368	6.7739916
47456.980513634524	301.60147	6.965672
47456.98069880495	278.66296	6.774904
47456.98088397538	268.66293	6.727618
47456.98106914581	283.73532	6.790782
47456.98125431624	271.73776	6.734075
47456.98143948666	281.75507	6.821707
47456.98162465756	270.79047	6.747762
47456.98180982799	286.73816	6.843195
47456.981994998416	267.23932	6.7392697
47456.982180168845	269.90326	6.7926755
47456.98236533927	295.2426	6.8549094
47456.982550509696	286.41364	6.8438926
47456.98273568059	281.08856	6.8099227
47456.98292085102	283.44785	6.847626
47456.98310602145	300.2792	6.9135175
47456.98329119187	303.35806	6.910789
47456.9834763623	298.64917	6.894599
47456.98366153273	297.19287	6.8307786
47456.983846703624	271.69144	6.784202
47456.98403187405	296.8889	6.8597755
47456.984217044475	289.2898	6.861323
47456.984402214905	293.68518	6.871547
47456.984587385334	286.38538	6.7801814
47456.98477255576	284.0467	6.7453465
47456.984957726185	284.06342	6.798429
47456.98514289708	285.71613	6.8365326
47456.98532806751	300.03412	6.918494
47456.98551323794	309.42993	6.917758
47456.98569840836	303.88718	6.9118752
47456.98588357879	333.33792	7.1787868
47456.98606874922	303.52087	6.9744663
47456.98625392011	315.2482	6.978952
47456.986439090535	301.62164	6.9305954
47456.986624260964	329.91693	7.070755
47456.98680943139	352.63693	7.2006555
47456.986994601815	320.8032	7.0795918
47456.987179772244	338.3287	7.156886
47456.98736494267	336.8243	7.1233597
47456.98755011357	337.31177	7.119322
47456.98773528399	348.90927	7.156518
47456.98792045442	301.86697	6.9444513
47456.98810562485	307.20184	6.897612
47456.98829079527	289.59335	6.8305793
47456.988661136595	288.13574	6.8553476
47456.98884630702	274.36838	6.7870317
47456.989031477446	302.64267	6.9780335
47456.9894018183	304.89224	6.973657
47456.989586988726	288.89258	6.8347526
47456.98977215962	293.46323	6.863574
47457.00477096969	264.78387	6.6913433
47457.00495614011	290.08377	6.8536944
47457.005141311	286.66968	6.8317947
47457.00532648143	267.52643	6.7275805
47457.00551165185	295.27045	6.879016
47457.00569682227	283.74545	6.8255277
47457.0058819927	285.26974	6.7577024
47457.00606716312	290.3897	6.767871
47457.00625233355	277.6479	6.7543416
47457.00643750444	289.0283	6.8232026
47457.00662267486	290.4759	6.801993
47457.00680784529	284.2298	6.82196
47457.00699301571	303.00427	6.9429865
47457.00717818613	290.71158	6.8856335
47457.00736335656	303.6783	6.886914
47457.00754852745	299.33893	6.8233695
47457.00773369787	311.78043	6.957983
47457.007918868294	312.56485	6.9390564
47457.00810403872	322.1427	6.974363
47457.008289209145	297.97565	6.85065
47457.00847437957	321.0621	6.9880643
47457.00865955046	317.20938	7.0179834
47457.042175409835	326.22073	7.075458
47457.04236058025	303.75204	6.9888077
47457.04254575067	322.70593	7.0753474
47457.04273092109	332.17212	7.0776496
47457.042916091974	337.3884	7.220479
47457.043101262396	347.24573	7.1615357
47457.04328643282	341.32806	7.1651855
47457.04347160323	355.1968	7.270891
47457.043656773654	339.45828	7.21644
47457.04384194407	359.02756	7.272197
47457.04421228538	370.1831	7.305764
47457.04439745579	369.9577	7.354278
47457.044582626215	380.1046	7.3647485
47457.04476779664	384.8235	7.4133735
47457.04495296705	373.88455	7.344745
47457.04513813747	363.53494	7.310143
47457.04532330835	374.58057	7.293999
47457.045508478775	366.48038	7.2833595
47457.0456936492	371.44934	7.3001056
47457.04587881961	333.0183	7.073101
47457.046063990034	335.25934	7.100516
47457.04624916045	352.28616	7.216509
47457.046434331336	356.77948	7.2310176
47457.04661950175	364.54245	7.26831
47457.04680467217	391.0544	7.391607
47457.046989842594	389.50256	7.409999
47457.04717501301	358.69003	7.212805
47457.04736018343	369.4102	7.2393003
47457.04754535431	366.28986	7.2674794
47457.04773052473	375.76285	7.361449
47457.04791569515	355.8011	7.221108
47457.04810086557	392.38544	7.363186
47457.048286035984	393.84442	7.437704
47457.048471206406	383.32358	7.3444414
47457.04865637683	383.84082	7.349553
47457.04884154771	369.59845	7.28954
47457.04902671813	382.5049	7.3487
47457.049211888545	412.15652	7.4834557
47457.04939705897	376.46994	7.3338785
47457.04958222938	372.0702	7.3010464
47457.0497673998	352.72977	7.229299
47457.049952570684	317.29865	7.026214
47457.050137741106	313.93042	6.930847
47457.05032291152	312.3557	6.902992
47457.05050808194	293.50897	6.864252
47457.05069325236	306.53458	6.939864
47457.05087842278	305.3889	6.9351506
47457.05106359319	286.74588	6.7594857
47457.05124876408	306.52563	6.9259953
47457.051433934495	297.77954	6.8711305
47457.05161910492	286.5755	6.7366123
47457.05180427533	301.31036	6.877387
47457.051989445754	327.69452	7.017521
47457.05217461617	324.7783	6.9665866
47457.05235978705	313.71838	7.013996
47457.05254495747	315.7926	6.956188
47457.052730127885	315.31256	6.979171
47457.05291529831	325.17892	7.039699
47457.05310046872	320.93857	6.995359
47457.053285639144	331.51306	7.103395
47457.053470810024	332.32608	7.0811276
47457.053655980446	351.37842	7.1877656
47457.05384115086	352.906	7.1695724
47457.05402632128	341.38657	7.12117
47457.0542114917	330.84775	7.061126
47457.05439666211	336.8766	7.1792235
47457.05458183253	356.26733	7.2219877
47457.054767003414	313.56827	6.9978194
47457.054952173836	294.73245	6.9097514
47457.05513734425	269.0232	6.772184
47457.055322514665	281.60287	6.81582
47457.07254337038	311.02618	6.955543
47457.07272854079	302.70148	6.903408
47457.07291371121	329.09836	7.067683
47457.07309888162	305.64407	6.9226604
47457.073284052036	318.16373	7.0004916
47457.073469222916	338.765	7.0838985
47457.07365439333	315.45883	6.945405
47457.073839563745	323.8019	7.0120215
47457.07402473416	300.0907	6.8306694
47457.074209904575	304.39093	6.9048023
47457.07439507499	319.0754	7.049819
47457.074580245404	293.93518	6.8139935
47457.074765416284	324.57468	6.973162
47457.0749505867	310.55307	6.8334336
47457.07513575712	304.71835	6.857868
47457.075320927535	315.42325	6.968844
47457.10994780815	288.6589	6.8022957
47457.110132979025	303.42456	6.8958707
47457.11031814944	314.4218	6.9685373
47457.11050331985	288.86212	6.8295345
47457.110688490255	307.77002	6.9360356
47457.11087366067	299.35925	6.861701
47457.11105883108	297.47583	6.8579664
47457.11124400195	307.73474	6.9222174
47457.111429172364	281.55353	6.7269897
47457.11161434277	279.89203	6.741684
47457.11179951318	308.44122	6.7956004
47457.11198468359	305.392	6.898456
47457.112169854	302.89618	6.8144464
47457.11235502441	288.33102	6.7967033
47457.11254019529	289.34213	6.725187
47457.112725365696	291.2967	6.7774534
47457.1129105361	300.3831	6.860448
47457.11309570652	331.36127	6.9733486
47457.113280876925	324.227	6.968409
47457.11346604733	313.82584	6.9521384
47457.113651218206	323.3801	6.964379
47457.11383638862	298.547	6.937512
47457.11402155903	320.25555	7.0665913
47457.114206729435	335.93826	7.037031
47457.11439189985	314.98492	6.9371686
47457.11457707026	323.86038	6.9967937
47457.11476224113	306.7701	6.8551245
47457.11494741154	317.86102	6.978711
47457.11513258195	284.11243	6.7115536
47457.11531775236	284.48767	6.832018
47457.11550292277	316.31107	6.8918185
47457.115688093174	298.0891	6.8398614
47457.11587326359	308.1602	6.84998
47457.11605843446	288.4965	6.7331133
47457.11624360487	284.38202	6.766529
47457.116428775276	291.33588	6.717046
47457.11661394569	298.1025	6.7540674
47457.1167991161	289.07278	6.734669
47457.116984286506	309.74548	6.897863
47457.11716945738	281.31992	6.7022552
47457.11735462779	321.12476	6.9733076
47457.11772496861	312.2973	6.910561
47457.117910139015	308.78116	6.85255
47457.11809530942	310.86075	6.864222
47457.1182804803	283.035	6.7389274
47457.11846565071	290.19357	6.7573853
47457.11865082112	294.25854	6.837006
47457.118835991525	307.7197	6.883652
47457.11902116193	307.28403	6.8688517
47457.11920633235	284.9645	6.779215
47457.119391502754	296.22516	6.750567
47457.11957667363	311.73038	6.9344754
47457.119761844035	293.92355	6.844672
47457.11994701444	301.4904	6.8314013
47457.12013218485	292.38388	6.828917
47457.120317355264	317.54956	6.942309
47457.12050252567	298.00497	6.817567
47457.120687696544	312.54465	6.9356303
47457.12087286695	321.86572	6.9488673
47457.12105803736	312.0815	6.933192
47457.12124320777	306.2197	6.91518
47457.12142837818	319.5372	6.932912
47457.12161354859	311.28467	6.965858
47457.121798718996	332.96912	7.0026994
47457.12198388987	320.40033	6.9313626
47457.122169060276	330.4373	6.999105
47457.12235423068	348.60965	7.063656
47457.12253940109	339.83765	7.0962667
47457.1227245715	350.36383	7.11688
47457.12290974191	358.70764	7.269604
47457.123094912786	347.31763	7.155703
47457.12328008319	346.91855	7.224426
47457.1234652536	346.49255	7.136455
47457.12365042401	350.57953	7.268097
47457.123835594415	365.21027	7.3158536
47457.140686108425	339.90436	7.083098
47457.14087127883	326.42114	6.9997706
47457.14105644924	324.4031	6.9827523
47457.14124161964	309.71838	6.8862844
47457.14142679005	325.12802	6.9886217
47457.141611960455	322.6801	7.005953
47457.14179713086	331.79065	7.001822
47457.14198230173	314.48105	6.8942127
47457.142167472135	301.81732	6.7931805
47457.14235264254	295.12466	6.8021855
47457.17772020349	310.1501	6.9076657
47457.17790537389	328.38544	7.0213046
47457.17809054429	305.8352	6.875245
47457.17827571469	310.74246	6.9011865
47457.17846088556	302.34018	6.8424125
47457.17864605596	310.63657	6.9065423
47457.17883122636	323.7607	6.9672656
47457.17901639676	321.817	6.977434
47457.17920156716	319.85535	6.929903
47457.17938673756	330.23315	6.9769998
47457.17957190796	353.29324	7.120135
47457.179757078826	319.83655	6.9068737
47457.179942249226	323.0182	6.933976
47457.180127419626	328.35355	6.8959994
47457.180312590026	336.22443	6.9617524
47457.180497760426	347.5427	7.056856
47457.180682930826	333.83337	7.006732
47457.18086810169	350.84024	7.076381
47457.18105327209	338.99988	6.9871225
47457.18123844249	327.5215	6.960266
47457.18142361289	328.69647	6.9686475
47457.18160878329	335.5394	7.003802
47457.18179395369	350.21884	7.041011
47457.18197912456	315.81198	6.860469
47457.18216429496	334.954	7.001788
47457.18234946536	318.04147	6.8914814
47457.18253463576	322.19946	6.9328566
47457.18271980616	322.0357	6.947222
47457.18290497656	315.96588	6.889693
47457.18309014696	312.45908	6.856744
47457.183275317824	300.915	6.764673
47457.183460488224	310.7638	6.81785
47457.183645658624	322.00858	6.9064794
47457.183830829024	312.74423	6.8301644
47457.184015999424	316.92297	6.8777456
47457.184201169825	303.33264	6.7773347
47457.18438634068	309.2591	6.8914704
47457.18457151108	308.4393	6.8024106
47457.18475668148	327.6333	6.905729
47457.18494185188	310.85968	6.8438215
47457.18512702228	297.35345	6.7920723
47457.18531219268	305.8738	6.808598
47457.18549736355	306.66934	6.7875113
47457.18568253395	304.88516	6.901904
47457.18586770435	309.43518	6.8138766
47457.18605287475	305.13644	6.892507
47457.18623804515	324.16016	6.8938007
47457.18642321555	308.35748	6.941739
47457.18660838594	304.64786	6.8231883
47457.18679355681	326.06613	6.951434
47457.18697872721	309.0944	6.9165845
47457.18716389761	310.58084	6.846986
47457.18734906801	329.0914	7.0121326
47457.18753423841	330.1012	6.997212
47457.18771940881	321.14194	6.9092684
47457.187904579674	312.21313	6.8922706
47457.188089750074	323.4404	6.964156
47457.18827492047	311.39014	6.8628893
47457.18846009087	319.50858	6.920944
47457.18864526127	325.89035	6.9234266
47457.18883043167	304.5689	6.9308677
47457.18901560253	301.24472	6.8018904
47457.18920077293	294.2234	6.805123
47457.18938594333	315.65973	6.890312
47457.189571113726	293.872	6.7989407
47457.189756284126	309.0749	6.843778
47457.189941454526	293.5538	6.7375813
47457.190126624926	301.50854	6.845783
47457.19031179579	304.94083	6.8604064
47457.19049696619	290.07593	6.849169
47457.190682136585	278.20718	6.7137914
47457.190867306985	279.96475	6.767283
47457.191052477385	287.41174	6.798265
47457.191237647785	311.87836	6.8923693
47457.19142281865	300.0606	6.866236
47457.19160798904	293.66495	6.8652234
47457.19179315944	318.26584	6.9597826
47457.19197832984	304.0582	6.880017
47457.19216350024	312.12378	6.9783697
47457.192348670644	281.73853	6.81371
47457.19253384104	319.06775	6.999347
47457.1927190119	298.02798	6.9589915
47457.245862936164	236.1577	6.3736606
47457.24604810656	269.0105	6.5926704
47457.24623327695	236.53413	6.381915
47457.24641844734	255.06607	6.5128174
47457.24660361773	261.39978	6.5486436
47457.24678878812	257.552	6.5268
47457.24697395898	239.44215	6.3495984
47457.24715912937	261.90436	6.5582457
47457.24734429976	249.70981	6.425957
47457.24752947015	265.1497	6.5999837
47457.24771464054	241.68982	6.4360437
47457.247899810936	246.082	6.419967
47457.24808498179	238.78006	6.3923497
47457.24827015218	255.49307	6.4605365
47457.24845532257	243.83643	6.452876
47457.24864049296	256.21265	6.4086113
47457.24882566335	256.30475	6.402549
47457.249010833744	260.98447	6.5305877
47457.2491960046	255.38785	6.4082456
47457.24938117499	259.30307	6.4903336
47457.31326498338	342.22366	7.04601
47457.313450153764	339.04596	7.1299186
47457.31363532414	348.54895	7.096705
47457.31382049453	345.74625	7.177042
47457.31400566537	332.6445	6.991947
47457.31419083576	323.63712	6.995134
47457.314376006136	308.84387	6.89652
47457.31456117652	310.40378	6.802117
47457.3147463469	336.36752	6.98759
47457.31493151728	333.00296	6.9452386
47457.31511668766	340.27045	7.0257263
47457.31530185851	337.31845	7.04307
47457.31548702889	337.6738	6.991801
47457.31567219927	322.0499	6.9726048
47457.31585736966	335.08936	7.016512
47457.316042540035	346.83142	7.095446
47457.316412881264	350.1361	7.034021
47457.31659805164	347.21628	7.0527496
47457.31678322203	352.0537	7.0847516
47457.316968392406	367.41397	7.115953
47457.31715356279	341.36902	6.996097
47457.31733873317	344.24847	6.9810166
47457.31752390355	352.81946	7.0268803
47457.3177090744	369.7248	7.1880417
47457.31789424478	358.97556	7.0962954
47457.31807941516	369.0958	7.120793
47457.31826458554	386.952	7.3013864
47457.31844975592	376.9971	7.171986
47457.318634926305	367.32483	7.1623306
47457.31882009715	390.8265	7.269117
47457.319005267535	371.7207	7.153746
47457.31919043791	365.538	7.1219997
47457.31937560829	361.79486	7.164714
47457.31956077868	370.616	7.14947
47457.319745949055	371.89005	7.1645436
47457.3199311199	366.51938	7.15354
47457.320116290284	395.3723	7.2889624
47457.32030146066	382.74982	7.1796236
47457.32048663105	373.97812	7.2287292
47457.320671801426	358.96765	7.1572423
47457.320856971804	382.4457	7.224063
47457.32104214219	350.69907	7.1187305
47457.321227313034	354.56113	7.1351457
47457.32141248341	388.79724	7.273564
47457.3215976538	375.9625	7.187928
47457.321782824176	360.8114	7.1512904
47457.321967994554	368.7085	7.203261
47457.32215316494	381.17438	7.27721
