TIME	RATE	ERROR
47454.9792	272.20227	5.41225
47454.97957	245.68167	5.20397
47454.97976	251.53929	5.29068
47454.97994	258.3127	5.26498
47454.98013	251.71512	5.2455
47454.98031	243.15419	5.15592
47454.9805	228.6596	5.08581
47454.98069	242.14835	5.14347
47454.98087	217.28915	4.9538
47454.98106	220.53091	5.04038
47454.98124	213.2916	4.98798
47454.98143	217.54456	5.01373
47454.98161	221.14749	5.03727
47454.9818	217.52242	4.9973
47454.98198	217.71292	5.01416
47454.98217	229.59479	5.02109
47454.98235	212.15527	4.94908
47454.98254	209.42345	5.02185
47454.98272	232.27501	5.07252
47454.98291	232.44899	5.15728
47454.98309	230.45668	5.12565
47454.98328	230.67918	5.05386
47454.98346	228.07553	5.10087
47454.98365	233.3034	5.08164
47454.98383	236.22298	5.14476
47454.98402	232.3368	5.12942
47454.9842	238.61214	5.13874
47454.98439	232.20102	5.09727
47454.98457	239.32079	5.16559
47454.98476	234.01073	5.08056
47454.98494	231.56549	5.17469
47454.98513	243.57455	5.15402
47454.98531	257.58542	5.22232
47454.9855	235.35667	5.13629
47454.98568	233.09158	5.17045
47454.98587	232.37189	5.10855
47454.98606	233.07124	5.14575
47454.98624	233.95824	5.12956
47454.98643	234.61905	5.1658
47454.98661	241.45418	5.14453
47454.9868	257.57166	5.25129
47454.98698	234.3079	5.12086
47454.98717	235.99028	5.14024
47454.98735	241.89314	5.14452
47454.98754	250.51497	5.23195
47454.98772	261.29016	5.24987
47454.98791	255.63492	5.25588
47454.98809	246.81947	5.21984
47454.98828	235.833	    5.1249
47454.98846	231.79163	5.09855
47454.98865	239.2761	5.14127
47454.98883	238.8261	5.17525
47454.98902	249.96338	5.19992
47454.9892	268.10776	5.37223
47454.98939	255.82933	5.241
47454.98957	265.79037	5.31308
47454.98976	258.65945	5.27037
47454.98994	277.56964	5.38426
47454.99013	277.6175	5.38493
47454.99031	273.91486	5.36152
47454.9905	292.42538	5.45157
47454.99068	294.12604	5.4763
47454.99087	300.12244	5.51458
47454.99105	327.94946	5.69653
47454.99124	321.50092	5.5895
47454.99143	300.10614	5.52505
47454.99161	307.00082	5.51841
47454.9918	318.35736	5.59028
47454.99198	302.98727	5.55608
47454.99217	319.22525	5.57675
47454.99235	291.8024	5.50094
47454.99254	310.12582	5.56474
47454.99272	317.4659	5.55905
47454.99291	300.70035	5.51981
47454.99309	302.11218	5.52001
47454.99328	306.52863	5.58622
47454.99346	309.21866	5.57835
47454.99365	300.6258	5.4743
47454.99383	303.33298	5.51306
47454.99402	291.03122	5.45274
47454.9942	299.22784	5.4811
47454.99439	318.8917	5.57043
47454.99457	298.59793	5.53638
47454.99476	296.1312	5.47437
47455.0005	262.9911	5.33122
47455.00068	264.10583	5.33485
47455.00087	242.14584	5.20147
47455.00105	248.14801	5.18156
47455.00124	259.25653	5.22469
47455.00142	227.06485	5.07023
47455.00161	216.52681	4.98413
47455.00179	232.0436	5.05586
47455.00198	237.83815	5.14314
47455.00217	233.56427	5.08653
47455.00235	213.71432	5.03606
47455.00254	233.31802	5.13538
47455.00272	225.69785	5.03846
47455.00291	229.53383	5.0628
47455.00309	230.31238	5.09377
47455.00328	227.32751	5.10501
47455.00346	239.71465	5.07671
47455.00365	240.2051	5.12472
47455.04383	291.50107	5.44714
47455.04401	284.22766	5.39891
47455.0442	307.66443	5.53609
47455.04438	285.51254	5.44277
47455.04457	285.85934	5.40807
47455.04475	290.51556	5.45463
47455.04494	283.8391	5.39817
47455.04512	292.5237	5.43709
47455.04531	282.363	    5.38933
47455.04549	287.3108	5.4603
47455.04568	310.0952	5.52603
47455.04587	312.03027	5.56809
47455.04605	332.11328	5.7061
47455.04624	328.76385	5.62409
47455.04642	329.07565	5.67891
47455.04661	316.84235	5.6041
47455.04679	335.35202	5.67986
47455.04698	356.15964	5.83564
47455.04716	342.73337	5.73897
47455.04735	353.35132	5.80929
47455.04753	360.57663	5.83183
47455.04772	368.2123	5.90843
47455.0479	376.59094	5.94923
47455.04809	381.00867	5.95484
47455.04827	366.29395	5.8568
47455.04846	351.07086	5.82902
47455.04864	324.93924	5.6541
47455.04883	319.3335	5.58843
47455.04901	301.79556	5.52505
47455.0492	313.61523	5.57529
47455.04938	307.05637	5.5617
47455.04957	307.01495	5.53928
47455.04975	305.11224	5.53592
47455.04994	298.2959	5.47817
47455.05012	292.48962	5.46795
47455.05031	299.27548	5.50003
47455.05049	299.32877	5.493
47455.05068	308.37546	5.57149
47455.05086	290.9555	5.48485
47455.05105	305.9571	5.55513
47455.05124	317.98956	5.62471
47455.05142	321.03818	5.62544
47455.05161	329.18576	5.66099
47455.05179	301.06808	5.51795
47455.05198	290.9802	5.51961
47455.05216	280.59683	5.41617
47455.05235	296.85187	5.49265
47455.05253	257.29968	5.24483
47455.06901	257.0492	5.27922
47455.0692	267.92603	5.301
47455.06938	280.37943	5.41789
47455.06957	278.28223	5.40004
47455.06975	283.7761	5.42683
47455.06994	272.5103	5.37828
47455.07012	292.44757	5.43486
47455.07031	299.03424	5.48572
47455.07049	314.57703	5.57565
47455.07068	299.36337	5.49413
47455.10642	242.1107	5.201
47455.1066	250.37865	5.21369
47455.10679	241.06845	5.16343
47455.10697	242.04301	5.20692
47455.10716	240.23581	5.19582
47455.10734	236.91571	5.17729
47455.10771	236.28407	5.14866
47455.1079	247.6418	5.19846
47455.10808	243.91391	5.19179
47455.10827	257.37918	5.25239
47455.10845	251.76483	5.21984
47455.10864	242.79636	5.13451
47455.10882	256.79196	5.22934
47455.10901	239.17937	5.14893
47455.10919	248.5721	5.1877
47455.10938	254.2863	5.19754
47455.10956	228.99132	5.08567
47455.10975	243.99771	5.14039
47455.10993	250.7026	5.20142
47455.11012	254.4135	5.21223
47455.1103	260.37427	5.27251
47455.11049	264.45926	5.30198
47455.11068	263.713	5.25148
47455.11086	255.75732	5.21981
47455.11105	256.14246	5.20832
47455.11123	250.3514	5.19691
47455.11142	255.18173	5.1932
47455.1116	233.04948	5.05411
47455.11179	252.2352	5.1924
47455.11197	252.22545	5.14793
47455.11216	233.10431	5.06084
47455.11234	241.8405	5.13448
47455.11253	246.0434	5.16235
47455.11271	243.79456	5.12485
47455.1129	243.51419	5.16397
47455.11308	241.5154	5.13527
47455.11327	234.9066	5.09336
47455.11345	245.07018	5.10451
47455.11364	253.90608	5.22938
47455.11382	253.21417	5.20671
47455.11401	247.53773	5.16612
47455.11419	242.98569	5.12555
47455.11438	244.88023	5.11073
47455.11456	236.64716	5.08429
47455.11475	256.56714	5.20244
47455.11493	238.16354	5.14719
47455.11512	234.88297	5.12807
47455.1153	253.17117	5.1783
47455.11549	241.69951	5.14685
47455.11567	240.78705	5.1295
47455.11586	241.37247	5.11355
47455.11605	254.73993	5.17697
47455.11623	252.14867	5.24368
47455.11642	254.3736	5.23206
47455.1166	253.44421	5.18984
47455.11679	233.63109	5.11347
47455.11697	246.63641	5.17326
47455.11716	247.08533	5.16167
47455.11734	255.76755	5.19561
47455.11753	242.80034	5.13396
47455.11771	252.77373	5.19024
47455.1179	237.60022	5.07118
47455.11808	229.21179	5.03791
47455.11827	240.09877	5.10651
47455.11845	240.27452	5.12811
47455.11864	242.71661	5.12505
47455.11882	247.51982	5.20107
47455.11901	240.05086	5.1499
47455.11919	245.48448	5.21214
47455.11938	261.37402	5.27994
47455.11956	256.5757	5.28224
47455.13678	217.62006	4.96725
47455.13697	217.56668	4.967
47455.13715	218.83511	4.97544
47455.13734	212.87744	4.95706
47455.17382	265.71725	5.33596
47455.174	253.95094	5.26231
47455.17419	269.36368	5.35289
47455.17437	258.80188	5.24543
47455.17456	269.1964	5.32075
47455.17493	289.24066	5.43279
47455.17511	277.6367	5.38007
47455.1753	268.84262	5.30674
47455.17548	268.09302	5.30245
47455.17567	277.89948	5.33684
47455.17586	260.76358	5.27861
47455.17604	273.61905	5.30114
47455.17623	298.48236	5.4526
47455.17641	264.67368	5.29213
47455.1766	275.52994	5.31943
47455.17678	251.64696	5.19268
47455.17697	240.6655	5.06223
47455.17715	256.28906	5.19399
47455.17734	256.77203	5.1892
47455.17752	256.49265	5.17987
47455.17771	253.18678	5.20702
47455.17789	278.7012	5.26477
47455.17808	268.03326	5.22611
47455.17826	257.7356	5.21503
47455.17845	250.71593	5.13538
47455.17863	249.71404	5.15013
47455.17882	247.08028	5.0931
47455.179	232.60938	5.04569
47455.17919	237.14857	5.06774
47455.17937	249.02036	5.16089
47455.17956	247.03691	5.13801
47455.17974	251.71234	5.18794
47455.17993	246.18086	5.12688
47455.18011	258.845	5.21017
47455.1803	260.59305	5.19625
47455.18048	268.3851	5.26331
47455.18067	244.09914	5.14252
47455.18085	243.33916	5.11505
47455.18104	231.1603	5.05124
47455.18123	227.03685	4.98513
47455.18141	241.3051	5.08748
47455.1816	238.59547	5.0888
47455.18178	242.87221	5.10319
47455.18197	241.54333	5.11479
47455.18215	242.27438	5.10187
47455.18234	236.74779	5.10822
47455.18252	226.86511	5.02154
47455.18271	234.13034	5.08248
47455.18289	237.3846	5.09506
47455.18308	240.62735	5.15264
47455.18326	233.96541	5.02517
47455.18345	234.67043	5.08108
47455.18363	232.86427	5.09697
47455.18382	226.41531	5.03132
47455.184	226.46562	5.03829
47455.18419	229.76396	5.04618
47455.18437	218.0201	5.00545
47455.18456	232.82524	5.09365
47455.18474	222.39107	5.01523
47455.18493	213.41357	4.97854
47455.18511	216.54654	4.93825
47455.1853	227.28842	5.05996
47455.18548	206.52058	4.92719
47455.18585	216.06502	4.96842
47455.18604	216.68893	4.97874
47455.18622	215.47139	5.02405
47455.18641	226.54285	4.99503
47455.1866	228.01285	5.04023
47455.18678	216.23553	4.9608
47455.18697	221.41042	5.03448
47455.18715	219.01198	5.03279
47455.18734	229.6001	5.07223
47455.18752	225.46478	5.0247
47455.18771	217.12883	5.01509
47455.18789	224.89423	5.05462
47455.18808	224.05226	5.04543
47455.18826	213.7565	5.03532
47455.18845	217.20306	5.03067
47455.24196	225.91418	5.04052
47455.24215	231.36115	5.07499
47455.24233	232.32143	5.08119
47455.24252	235.49559	5.11195
47455.2427	240.76625	5.14941
47455.24289	218.93684	5.01365
47455.24307	233.54088	5.04896
47455.24326	231.86792	5.07089
47455.24344	229.7362	5.01817
47455.24363	236.0606	5.12336
47455.24381	227.17345	4.99509
47455.244	220.87703	4.98052
47455.24418	247.46904	5.15426
47455.24437	229.1617	5.00712
47455.24455	223.91574	4.99403
47455.24474	236.21616	5.05347
47455.24492	221.27124	4.99244
47455.24511	227.01474	5.04709
47455.24529	231.47943	5.04755
47455.24548	235.10066	5.06349
47455.24566	225.82814	4.98446
47455.24585	229.76036	5.06834
47455.24603	228.41211	5.05304
47455.24622	236.26447	5.06358
47455.24641	218.48561	4.98387
47455.24659	227.81313	4.95641
47455.24678	229.7956	5.04073
47455.24696	232.48883	5.02341
47455.24715	224.92467	4.96688
