TIME	RATE	ERROR
43466.20706	7.45121	7.93748
43466.20711	5.77615	6.15311
43466.20711	2.49821	5.28117
43466.20717	-1.07365	7.62029
43466.23165	1.33102	4.69568
43466.2317	7.75545	3.52166
43466.2317	3.84741	3.11737
43466.23176	7.0828	3.97809
43466.23176	8.38674	3.80833
43466.23182	8.86376	5.75684
43466.2816	-4.1209	6.90632
43466.2816	-0.85166	6.04468
43466.28166	2.1283	5.07452
43466.28166	2.89432	4.56982
43466.28171	1.94615	6.86582
43466.35525	1.59136	5.61417
43466.35531	3.99031	3.75405
43466.35531	9.61849	4.45154
43466.35537	2.74081	3.37381
43466.35537	4.03324	3.26794
43466.35543	2.77739	5.02411
43466.40319	4.40579	7.96978
43466.40324	-2.67128	4.50622
43466.40324	0.67509	4.87755
43466.4033	-0.60817	4.31653
43466.4033	4.9556	4.5482
43466.40336	8.52816	7.19645
43466.4276	5.18488	7.58281
43466.42766	6.89246	5.81617
43466.42766	0.65876	4.75956
43466.42772	-6.90803	6.41653
43466.47684	2.91994	5.28198
43466.4769	3.15783	3.35448
43466.4769	1.44766	3.45165
43466.47696	-4.06665	3.33311
43466.47696	0.52476	3.62316
43466.47702	2.36697	5.64357
43466.54984	-7.39272	8.11068
43466.5499	2.71214	4.90609
43466.54996	-1.89907	3.20356
43466.54996	0.41188	2.97584
43466.55002	-1.75635	4.00213
43466.55002	-3.7828	4.74812
43466.55008	2.94262	7.0161
43466.59902	14.74568	6.69585
43466.59908	-9.18934	3.35634
43466.59908	-1.43241	3.26399
43466.59914	-0.91082	2.25639
43466.59914	-1.51047	2.54803
43466.5992	3.16591	3.89709
43466.5992	-6.38056	5.22964
43466.59926	0.98131	6.77532
43466.62337	2.60244	6.205
43466.62343	4.84846	5.15039
43466.62343	-0.4818	3.41958
43466.62349	-1.72099	2.16017
43466.62349	-3.37865	2.3802
43466.62355	2.47975	5.24216
43466.62355	-0.99236	3.44246
43466.62361	14.19927	7.14341
43466.67238	2.20809	5.26476
43466.67244	-0.14991	4.10065
43466.67244	0.88339	3.11649
43466.67249	3.70217	2.60101
43466.67249	4.65172	2.43574
43466.67255	1.29316	4.19637
43466.67255	0.01051	3.06592
43466.67261	3.69772	5.40786
43466.72114	10.31	6.23249
43466.7212	-6.00484	3.37186
43466.7212	-1.96526	3.29363
43466.72126	1.90328	4.538
43466.72126	10.22338	5.74201
43466.72132	3.05497	7.28398
43466.74585	-13.83624	3.48953
43466.74591	-4.45669	2.50254
43466.74591	2.13948	3.378
43466.74597	3.82818	2.68954
43466.74597	-0.852	2.11068
43466.74603	3.51367	3.74297
43466.74603	-3.83472	6.4267
43466.74609	2.86782	6.83776
43466.81938	0.77097	5.32306
43466.81944	1.45704	3.47404
43466.81944	4.22031	3.87336
43466.8195	1.7953	3.24758
43466.8195	4.47638	3.2546
43466.81956	-8.11854	4.12273
43466.91757	-1.66425	5.77317
43466.91763	8.82488	4.00728
43466.91763	5.47625	5.02605
43466.91769	-0.08421	2.30349
43466.91769	5.64783	3.00704
43466.91775	-1.95309	4.83841
43466.91775	2.51408	3.6768
43466.91781	6.11299	6.51192
43466.94228	-3.21042	5.4157
43466.94234	-3.2304	4.05475
43466.94234	-0.91676	3.1802
43466.9424	3.58235	2.74475
43466.9424	5.74464	2.65868
43466.94245	-0.1805	4.93749
43466.94245	4.34578	3.66716
43466.94251	10.31472	6.69921
43467.11275	8.23453	5.34817
43467.11281	-0.85398	3.93344
43467.11281	0.76959	2.71502
43467.11287	2.6771	1.94641
43467.11287	4.4866	2.25713
43467.11293	4.00277	2.8122
43467.11293	4.048	3.71522
43467.11299	3.1786	4.64865
43467.18717	1.73805	6.13165
43467.18723	-0.47402	3.36433
43467.18723	-3.1052	5.20408
43467.18729	3.13101	2.64209
43467.18729	0.68037	2.20784
43467.18735	-2.04366	2.72386
43467.18735	2.77957	3.5212
43467.18741	7.10267	4.99008
43467.23665	7.78076	8.28853
43467.23671	-1.04073	3.61023
43467.23677	1.91585	2.42702
43467.23677	4.12557	2.67948
43467.23683	-0.99799	2.47234
43467.23683	2.52622	2.69108
43467.23689	0.57423	3.96472
43467.23695	-1.2592	8.93722
43467.26142	4.17322	5.13704
43467.26148	3.81081	2.91979
43467.26148	6.51443	4.73638
43467.26154	3.2876	2.13523
43467.26154	4.09782	2.0122
43467.2616	-3.32336	2.72389
43467.2616	3.10125	2.61697
43467.26166	10.98496	4.76109
43467.30953	3.42919	4.22117
43467.30959	8.72279	2.99829
43467.30959	3.50894	2.84313
43467.30965	5.43345	2.59263
43467.30965	3.98295	2.41628
43467.30971	3.9058	3.67454
43467.30977	-3.1274	7.1263
43467.382	9.97432	8.41678
43467.38206	3.6072	3.8426
43467.38212	2.70327	2.48103
43467.38212	3.01067	2.54054
43467.38218	3.64257	2.64837
43467.38218	-1.68429	2.24488
43467.38224	-3.11789	3.4207
43467.3823	2.32071	8.18723
43467.50341	7.65192	4.96978
43467.50347	5.07436	3.35292
43467.50347	7.30842	3.31868
43467.50353	2.09356	2.65215
43467.50353	7.21052	3.12518
43467.50359	0.01388	4.04863
43467.50365	4.84237	8.75954
43467.52794	7.1703	5.49378
43467.57641	3.45317	4.25069
43467.57647	4.13048	2.68267
43467.57647	6.25263	3.51182
43467.57653	8.65429	2.43199
43467.57653	4.33206	2.00493
43467.57659	10.57253	3.21685
43467.57659	-5.50518	3.27796
43467.57665	13.88042	5.30998
43467.62459	8.78821	6.7334
43467.62464	6.60598	3.32335
43467.62464	0.98774	7.13643
43467.6247	3.24597	2.10819
43467.6247	5.15612	2.14649
43467.62476	1.20728	2.1839
43467.62476	5.14942	2.69634
43467.62482	2.93651	3.61471
43467.649	-0.92003	6.52994
43467.64906	5.07773	3.06953
43467.64912	8.36766	2.24038
43467.64912	7.16744	2.41399
43467.64918	6.54215	1.93654
43467.64918	3.61238	1.67185
43467.64924	0.96461	2.29993
43467.64924	7.89795	5.21863
43467.64929	4.28682	4.56658
43467.72301	1.33584	4.71271
43467.72307	5.9139	2.97518
43467.72307	7.86282	4.41619
43467.72312	5.85994	2.13233
43467.72312	4.63848	2.2133
43467.72318	3.38745	3.59839
43467.72318	5.64201	2.8384
43467.72324	1.83447	4.37393
43467.77207	3.83502	3.51974
43467.77207	1.39369	2.52109
43467.77213	4.56568	2.00025
43467.77213	4.2789	2.15264
43467.77219	2.226	3.51462
43467.77219	-3.82917	2.15017
