Time	CountRate	Error
43466.23159	5.29014	7.54259
43466.23165	5.62487	4.00044
43466.2317	5.75492	2.82022
43466.2317	11.70081	3.06647
43466.23176	6.84806	3.16974
43466.23176	10.82666	3.72931
43466.23182	10.18954	4.99342
43466.28154	12.50612	8.1312
43466.2816	1.83032	4.62867
43466.2816	9.61989	5.80414
43466.28166	4.02312	4.05218
43466.28166	0.65182	3.07153
43466.28171	8.1474	5.79448
43466.35525	4.54244	4.57525
43466.35531	3.83182	3.01411
43466.35531	4.06852	3.04856
43466.35537	1.04807	2.65045
43466.35537	3.96732	2.64733
43466.35543	13.38616	4.9041
43466.47678	0.54741	7.47246
43466.47684	5.48983	4.3183
43466.4769	0.9732	2.32328
43466.4769	1.51137	2.74639
43466.47696	1.66428	3.02424
43466.47696	-0.65931	2.84636
43466.47702	1.81247	4.58354
43466.54984	-5.98166	5.89997
43466.5499	0.2661	3.63244
43466.5499	-0.02332	5.48154
43466.54996	3.29694	2.47041
43466.54996	2.83702	2.85751
43466.55002	2.75304	4.46399
43466.55002	7.46265	3.88977
43466.55008	-8.80479	4.70298
43466.59902	1.05927	4.47904
43466.59908	2.06264	3.34452
43466.59908	-1.57749	2.50957
43466.59914	2.73664	2.05058
43466.59914	2.31827	2.33502
43466.5992	-3.56868	4.92492
43466.5992	6.28135	3.501
43466.59926	-3.29873	5.24783
43466.67238	3.60472	4.24679
43466.67244	4.63778	2.7815
43466.67244	2.02442	3.28254
43466.67249	1.02994	1.67001
43466.67249	-2.09651	1.72327
43466.67255	1.46009	2.65321
43466.67255	-0.01515	3.56077
43466.67261	-2.55061	4.05768
43466.74585	6.8825	4.12776
43466.74591	-1.05261	2.23374
43466.74591	3.18858	2.50813
43466.74597	1.1453	2.08117
43466.74597	-1.13264	1.56309
43466.74603	-3.18192	2.61544
43466.74609	-4.22595	5.16613
43466.81938	9.10631	4.74649
43466.81944	7.24893	3.1819
43466.81944	9.47728	3.4114
43466.8195	4.41892	2.87308
43466.8195	4.43774	2.6775
43466.81956	3.50583	4.13029
43466.94228	5.41328	4.77529
43466.94234	5.33559	2.97386
43466.94234	1.41268	3.37245
43466.9424	5.86302	2.21227
43466.9424	3.19602	2.27303
43466.94245	6.24731	3.25629
43466.94245	2.93274	4.75536
43466.94251	0.36651	5.00299
43467.18717	7.27931	5.17709
43467.18723	6.47972	3.1754
43467.18723	4.54758	4.59793
43467.18729	1.77812	2.09484
43467.18729	5.99749	2.15883
43467.18735	8.91704	3.02825
43467.18735	3.62693	3.11357
43467.18741	2.15413	3.91437
43467.23689	2.97563	3.50565
43467.23695	-0.71437	7.55506
43467.26142	2.80374	3.99752
43467.26148	2.29986	2.31647
43467.26148	2.12578	3.44689
43467.26154	5.17875	1.78385
43467.26154	4.33827	1.90427
43467.2616	1.16496	2.78107
43467.2616	4.20274	2.34246
43467.26166	8.23957	4.03782
43467.30947	-3.25458	7.31147
43467.30953	9.66643	3.85481
43467.30959	5.02289	2.38494
43467.30959	3.41714	2.22175
43467.30965	2.2307	1.91496
43467.30965	5.11638	2.24582
43467.30971	8.3085	3.47073
43467.30977	0.45764	6.24703
43467.382	-2.49168	5.5976
43467.38206	7.3359	3.39555
43467.38212	2.0193	2.03388
43467.38212	-0.00708	1.66432
43467.38218	2.10721	2.13054
43467.38218	4.76175	2.33351
43467.38224	-6.40741	2.45055
43467.3823	6.17148	7.27074
43467.57641	8.68847	3.81378
43467.57647	6.53231	2.90658
43467.57647	3.05762	2.1746
43467.57653	8.28843	2.00934
43467.57653	7.96787	2.12773
43467.57659	11.67678	4.63498
43467.57659	12.3488	3.00153
43467.57665	10.88633	4.54757
43467.62459	8.97699	5.38393
43467.649	-0.48039	5.08052
43467.64906	2.07904	2.44936
43467.64912	3.60749	1.83977
43467.64912	3.78893	1.75377
43467.64918	7.19941	1.83109
43467.64918	7.13791	1.77401
43467.64924	4.6983	2.30242
43467.64924	13.65087	6.07402
43467.64929	8.97333	4.39741
43467.72301	10.5246	4.39647
43467.72307	4.66478	2.43143
43467.72307	1.90359	3.08662
43467.72312	5.90226	2.00442
43467.72312	4.30112	1.70729
43467.72318	3.26315	3.29927
43467.72318	3.96171	2.37602
43467.72324	14.66565	4.651
43467.77207	3.21908	2.76345
43467.77207	4.71635	2.31126
43467.77213	4.48473	1.69221
43467.77213	5.27449	1.93234
43467.77219	4.61481	3.4579
43467.77219	4.95939	2.43036
43467.77225	7.80985	4.07074
