Time	Count	Error
120872759.79799	3.0	1.73205
120872760.79799	16.0	4.0
120872761.79799	10.0	3.16228
120872762.79799	18.0	4.24264
120872763.79799	10.0	3.16228
120872764.79799	15.0	3.87298
120872765.79799	17.0	4.12311
120872766.79799	17.0	4.12311
120872767.79799	20.0	4.47214
120872768.79799	14.0	3.74166
120872769.79799	16.0	4.0
120872770.79799	15.0	3.87298
120872771.79799	13.0	3.60555
120872772.79799	24.0	4.89898
120872773.79799	8.0	2.82843
120872774.79799	13.0	3.60555
120872775.79799	10.0	3.16228
120872776.79799	11.0	3.31662
120872777.79799	17.0	4.12311
120872778.79799	17.0	4.12311
120872779.79799	12.0	3.4641
120872780.79799	15.0	3.87298
120872781.79799	21.0	4.58258
120872782.79799	16.0	4.0
120872783.79799	13.0	3.60555
120872784.79799	16.0	4.0
120872785.79799	13.0	3.60555
120872786.79799	10.0	3.16228
120872787.79799	15.0	3.87298
120872788.79799	12.0	3.4641
120872789.79799	12.0	3.4641
120872790.79799	16.0	4.0
120872791.79799	11.0	3.31662
120872792.79799	18.0	4.24264
120872793.79799	10.0	3.16228
120872794.79799	15.0	3.87298
120872795.79799	10.0	3.16228
120872796.79799	11.0	3.31662
120872797.79799	11.0	3.31662
120872798.79799	14.0	3.74166
120872799.79799	18.0	4.24264
120872800.79799	11.0	3.31662
120872801.79799	11.0	3.31662
120872802.79799	18.0	4.24264
120872803.79799	13.0	3.60555
120872804.79799	17.0	4.12311
120872805.79799	21.0	4.58258
120872806.79799	11.0	3.31662
120872807.79799	9.0	3.0
120872808.79799	26.0	5.09902
120872809.79799	21.0	4.58258
120872810.79799	11.0	3.31662
120872811.79799	14.0	3.74166
120872812.79799	11.0	3.31662
120872813.79799	10.0	3.16228
120872814.79799	13.0	3.60555
120872815.79799	12.0	3.4641
120872816.79799	14.0	3.74166
120872817.79799	19.0	4.3589
120872818.79799	17.0	4.12311
120872819.79799	12.0	3.4641
120872820.79799	7.0	2.64575
120872821.79799	12.0	3.4641
120872822.79799	13.0	3.60555
120872823.79799	14.0	3.74166
120872824.79799	15.0	3.87298
120872825.79799	11.0	3.31662
120872826.79799	14.0	3.74166
120872827.79799	15.0	3.87298
120872828.79799	17.0	4.12311
120872829.79799	15.0	3.87298
120872830.79799	17.0	4.12311
120872831.79799	9.0	3.0
120872832.79799	22.0	4.69042
120872833.79799	20.0	4.47214
120872834.79799	16.0	4.0
120872835.79799	15.0	3.87298
120872836.79799	14.0	3.74166
120872837.79799	11.0	3.31662
120872838.79799	10.0	3.16228
120872839.79799	14.0	3.74166
120872840.79799	10.0	3.16228
120872841.79799	18.0	4.24264
120872842.79799	19.0	4.3589
120872843.79799	9.0	3.0
120872844.79799	8.0	2.82843
120872845.79799	24.0	4.89898
120872846.79799	4.0	2.0
120872847.79799	16.0	4.0
120872848.79799	25.0	5.0
120872849.79799	7.0	2.64575
120872850.79799	15.0	3.87298
120872851.79799	8.0	2.82843
120872852.79799	17.0	4.12311
120872853.79799	14.0	3.74166
120872854.79799	12.0	3.4641
120872855.79799	18.0	4.24264
120872856.79799	14.0	3.74166
120872857.79799	12.0	3.4641
120872858.79799	23.0	4.79583
120872859.79799	15.0	3.87298
120872860.79799	11.0	3.31662
120872861.79799	13.0	3.60555
120872862.79799	17.0	4.12311
120872863.79799	13.0	3.60555
120872864.79799	11.0	3.31662
120872865.79799	13.0	3.60555
120872866.79799	24.0	4.89898
120872867.79799	10.0	3.16228
120872868.79799	12.0	3.4641
120872869.79799	24.0	4.89898
120872870.79799	15.0	3.87298
120872871.79799	20.0	4.47214
120872872.79799	11.0	3.31662
120872873.79799	15.0	3.87298
120872874.79799	15.0	3.87298
120872875.79799	15.0	3.87298
120872876.79799	11.0	3.31662
120872877.79799	14.0	3.74166
120872878.79799	11.0	3.31662
120872879.79799	15.0	3.87298
120872880.79799	17.0	4.12311
120872881.79799	12.0	3.4641
120872882.79799	16.0	4.0
120872883.79799	22.0	4.69042
120872884.79799	12.0	3.4641
120872885.79799	16.0	4.0
120872886.79799	13.0	3.60555
120872887.79799	18.0	4.24264
120872888.79799	7.0	2.64575
120872889.79799	12.0	3.4641
120872890.79799	17.0	4.12311
120872891.79799	8.0	2.82843
120872892.79799	12.0	3.4641
120872893.79799	16.0	4.0
120872894.79799	13.0	3.60555
120872895.79799	18.0	4.24264
120872896.79799	16.0	4.0
120872897.79799	16.0	4.0
120872898.79799	11.0	3.31662
120872899.79799	15.0	3.87298
120872900.79799	12.0	3.4641
120872901.79799	17.0	4.12311
120872902.79799	19.0	4.3589
120872903.79799	8.0	2.82843
120872904.79799	12.0	3.4641
120872905.79799	10.0	3.16228
120872906.79799	11.0	3.31662
120872907.79799	16.0	4.0
120872908.79799	19.0	4.3589
120872909.79799	14.0	3.74166
120872910.79799	21.0	4.58258
120872911.79799	17.0	4.12311
120872912.79799	11.0	3.31662
120872913.79799	12.0	3.4641
120872914.79799	11.0	3.31662
120872915.79799	15.0	3.87298
120872916.79799	19.0	4.3589
120872917.79799	10.0	3.16228
120872918.79799	14.0	3.74166
120872919.79799	18.0	4.24264
120872920.79799	18.0	4.24264
120872921.79799	14.0	3.74166
120872922.79799	15.0	3.87298
120872923.79799	14.0	3.74166
120872924.79799	10.0	3.16228
120872925.79799	17.0	4.12311
120872926.79799	12.0	3.4641
120872927.79799	5.0	2.23607
120872928.79799	15.0	3.87298
120872929.79799	20.0	4.47214
120872930.79799	12.0	3.4641
120872931.79799	12.0	3.4641
120872932.79799	16.0	4.0
120872933.79799	14.0	3.74166
120872934.79799	11.0	3.31662
120872935.79799	12.0	3.4641
120872936.79799	6.0	2.44949
120872937.79799	13.0	3.60555
120872938.79799	12.0	3.4641
120872939.79799	22.0	4.69042
120872940.79799	14.0	3.74166
120872941.79799	10.0	3.16228
120872942.79799	14.0	3.74166
120872943.79799	16.0	4.0
120872944.79799	10.0	3.16228
120872945.79799	11.0	3.31662
120872946.79799	8.0	2.82843
120872947.79799	20.0	4.47214
120872948.79799	8.0	2.82843
120872949.79799	17.0	4.12311
120872950.79799	12.0	3.4641
120872951.79799	11.0	3.31662
