Time	Count	Error
120866537.28015	51.0	7.14143
120866538.28015	72.0	8.48528
120866539.28015	65.0	8.06226
120866540.28015	52.0	7.2111
120866541.28015	53.0	7.28011
120866542.28015	62.0	7.87401
120866543.28015	63.0	7.93725
120866544.28015	69.0	8.30662
120866545.28015	67.0	8.18535
120866546.28015	63.0	7.93725
120866547.28015	65.0	8.06226
120866548.28015	59.0	7.68115
120866549.28015	61.0	7.81025
120866550.28015	69.0	8.30662
120866551.28015	65.0	8.06226
120866552.28015	73.0	8.544
120866553.28015	51.0	7.14143
120866554.28015	53.0	7.28011
120866555.28015	73.0	8.544
120866556.28015	57.0	7.54983
120866557.28015	46.0	6.78233
120866558.28015	74.0	8.60233
120866559.28015	74.0	8.60233
120866560.28015	51.0	7.14143
120866561.28015	60.0	7.74597
120866562.28015	64.0	8.0
120866563.28015	61.0	7.81025
120866564.28015	52.0	7.2111
120866565.28015	61.0	7.81025
120866566.28015	73.0	8.544
120866567.28015	71.0	8.42615
120866568.28015	66.0	8.12404
120866569.28015	60.0	7.74597
120866570.28015	65.0	8.06226
120866571.28015	57.0	7.54983
120866572.28015	76.0	8.7178
120866573.28015	62.0	7.87401
120866574.28015	72.0	8.48528
120866575.28015	61.0	7.81025
120866576.28015	72.0	8.48528
120866577.28015	70.0	8.3666
120866578.28015	63.0	7.93725
120866579.28015	68.0	8.24621
120866580.28015	77.0	8.77496
120866581.28015	59.0	7.68115
120866582.28015	63.0	7.93725
120866583.28015	73.0	8.544
120866584.28015	85.0	9.21954
120866585.28015	76.0	8.7178
120866586.28015	78.0	8.83176
120866587.28015	54.0	7.34847
120866588.28015	53.0	7.28011
120866589.28015	71.0	8.42615
120866590.28015	62.0	7.87401
120866591.28015	68.0	8.24621
120866592.28015	48.0	6.9282
120866593.28015	71.0	8.42615
120866594.28015	59.0	7.68115
120866595.28015	61.0	7.81025
120866596.28015	65.0	8.06226
120866597.28015	68.0	8.24621
120866598.28015	52.0	7.2111
120866599.28015	68.0	8.24621
120866600.28015	68.0	8.24621
120866601.28015	69.0	8.30662
120866602.28015	61.0	7.81025
120866603.28015	56.0	7.48331
120866604.28015	71.0	8.42615
120866605.28015	70.0	8.3666
120866606.28015	58.0	7.61577
120866607.28015	77.0	8.77496
120866608.28015	75.0	8.66025
120866609.28015	59.0	7.68115
120866610.28015	69.0	8.30662
120866611.28015	77.0	8.77496
120866612.28015	67.0	8.18535
120866613.28015	66.0	8.12404
120866614.28015	67.0	8.18535
120866615.28015	74.0	8.60233
120866616.28015	59.0	7.68115
120866617.28015	72.0	8.48528
120866618.28015	65.0	8.06226
120866619.28015	72.0	8.48528
120866620.28015	60.0	7.74597
120866621.28015	68.0	8.24621
120866622.28015	72.0	8.48528
120866623.28015	77.0	8.77496
120866624.28015	77.0	8.77496
120866625.28015	52.0	7.2111
120866626.28015	76.0	8.7178
120866627.28015	56.0	7.48331
120866628.28015	61.0	7.81025
120866629.28015	66.0	8.12404
120866630.28015	40.0	6.32456
120866631.28015	59.0	7.68115
120866632.28015	70.0	8.3666
120866633.28015	63.0	7.93725
120866634.28015	79.0	8.88819
120866635.28015	68.0	8.24621
120866636.28015	59.0	7.68115
120866637.28015	66.0	8.12404
120866638.28015	58.0	7.61577
120866639.28015	57.0	7.54983
120866640.28015	51.0	7.14143
120866641.28015	70.0	8.3666
120866642.28015	57.0	7.54983
120866643.28015	56.0	7.48331
120866644.28015	61.0	7.81025
120866645.28015	71.0	8.42615
120866646.28015	52.0	7.2111
120866647.28015	47.0	6.85565
120866648.28015	67.0	8.18535
120866649.28015	63.0	7.93725
120866650.28015	68.0	8.24621
120866651.28015	52.0	7.2111
120866652.28015	63.0	7.93725
120866653.28015	70.0	8.3666
120866654.28015	69.0	8.30662
120866655.28015	59.0	7.68115
120866656.28015	40.0	6.32456
120866657.28015	53.0	7.28011
120866658.28015	63.0	7.93725
120866659.28015	51.0	7.14143
120866660.28015	74.0	8.60233
120866661.28015	52.0	7.2111
120866662.28015	66.0	8.12404
120866663.28015	70.0	8.3666
120866664.28015	58.0	7.61577
120866665.28015	55.0	7.4162
120866666.28015	60.0	7.74597
120866667.28015	64.0	8.0
120866668.28015	87.0	9.32738
120866669.28015	80.0	8.94427
120866670.28015	67.0	8.18535
120866671.28015	64.0	8.0
120866672.28015	67.0	8.18535
120866673.28015	69.0	8.30662
120866674.28015	60.0	7.74597
120866675.28015	51.0	7.14143
120866676.28015	73.0	8.544
120866677.28015	67.0	8.18535
120866678.28015	76.0	8.7178
120866679.28015	61.0	7.81025
120866680.28015	64.0	8.0
120866681.28015	61.0	7.81025
120866682.28015	67.0	8.18535
120866683.28015	59.0	7.68115
120866684.28015	58.0	7.61577
120866685.28015	53.0	7.28011
120866686.28015	56.0	7.48331
120866687.28015	49.0	7.0
120866688.28015	76.0	8.7178
120866689.28015	61.0	7.81025
120866690.28015	65.0	8.06226
120866691.28015	51.0	7.14143
120866692.28015	56.0	7.48331
120866693.28015	58.0	7.61577
120866694.28015	66.0	8.12404
120866695.28015	52.0	7.2111
120866696.28015	63.0	7.93725
120866697.28015	61.0	7.81025
120866698.28015	67.0	8.18535
120866699.28015	75.0	8.66025
120866700.28015	62.0	7.87401
120866701.28015	62.0	7.87401
120866702.28015	75.0	8.66025
120866703.28015	56.0	7.48331
120866704.28015	71.0	8.42615
120866705.28015	73.0	8.544
120866706.28015	57.0	7.54983
120866707.28015	56.0	7.48331
120866708.28015	67.0	8.18535
120866709.28015	62.0	7.87401
120866710.28015	55.0	7.4162
120866711.28015	79.0	8.88819
120866712.28015	63.0	7.93725
120866713.28015	63.0	7.93725
120866714.28015	53.0	7.28011
120866715.28015	66.0	8.12404
120866716.28015	61.0	7.81025
120866717.28015	48.0	6.9282
120866718.28015	68.0	8.24621
120866719.28015	60.0	7.74597
120866720.28015	56.0	7.48331
120866721.28015	62.0	7.87401
120866722.28015	66.0	8.12404
120866723.28015	56.0	7.48331
120866724.28015	64.0	8.0
120866725.28015	50.0	7.07107
120866726.28015	67.0	8.18535
120866727.28015	68.0	8.24621
120866728.28015	61.0	7.81025
120866729.28015	59.0	7.68115
120866730.28015	61.0	7.81025
120866731.28015	83.0	9.11043
120866732.28015	41.0	6.40312
120866733.28015	59.0	7.68115
120866734.28015	53.0	7.28011
120866735.28015	71.0	8.42615
120866736.28015	68.0	8.24621
120866737.28015	73.0	8.544
120866738.28015	61.0	7.81025
120866739.28015	62.0	7.87401
120866740.28015	72.0	8.48528
120866741.28015	67.0	8.18535
120866742.28015	57.0	7.54983
120866743.28015	74.0	8.60233
120866744.28015	52.0	7.2111
120866745.28015	61.0	7.81025
120866746.28015	65.0	8.06226
120866747.28015	67.0	8.18535
