Time	Count	Error
120866541.78015	0.1	0.1
120866561.78015	0.2	0.14142
120866571.78015	0.2	0.14142
120866581.78015	0.2	0.14142
120866601.78015	0.2	0.14142
120866611.78015	0.5	0.22361
120866621.78015	0.1	0.1
120866641.78015	0.4	0.2
120866661.78015	0.2	0.14142
120866671.78015	0.2	0.14142
120866691.78015	0.1	0.1
120866701.78015	0.3	0.17321
120866711.78015	0.1	0.1
120866731.78015	0.2	0.14142
120866751.78015	0.1	0.1
120866761.78015	0.2	0.14142
120866771.78015	0.3	0.17321
120866781.78015	0.3	0.17321
120866791.78015	0.3	0.17321
120866811.78015	0.2	0.14142
120866821.78015	0.1	0.1
120866831.78015	0.5	0.22361
120866841.78015	0.1	0.1
120866851.78015	0.1	0.1
120866861.78015	0.4	0.2
120866871.78015	0.2	0.14142
120866881.78015	0.1	0.1
120866891.78015	0.2	0.14142
120866901.78015	0.2	0.14142
120866921.78015	0.1	0.1
120866931.78015	0.2	0.14142
120866941.78015	0.1	0.1
120866951.78015	0.1	0.1
120866961.78015	0.2	0.14142
120866981.78015	0.2	0.14142
120866991.78015	0.2	0.14142
120867001.78015	0.3	0.17321
120867011.78015	0.1	0.1
120867021.78015	0.3	0.17321
120867031.78015	0.1	0.1
120867051.78015	0.1	0.1
120867061.78015	0.2	0.14142
120867071.78015	0.2	0.14142
120867081.78015	0.1	0.1
120867111.78015	0.4	0.2
120867121.78015	0.1	0.1
120867131.78015	0.2	0.14142
120867141.78015	0.4	0.2
120867161.78015	0.1	0.1
120867171.78015	0.1	0.1
120867181.78015	0.3	0.17321
120867201.78015	0.3	0.17321
120867211.78015	0.2	0.14142
120867221.78015	0.3	0.17321
120867241.78015	0.2	0.14142
120867261.78015	0.2	0.14142
120867271.78015	0.2	0.14142
120867281.78015	0.1	0.1
120867301.78015	0.3	0.17321
120867321.78015	0.1	0.1
120867331.78015	0.3	0.17321
120867351.78015	0.3	0.17321
120867361.78015	0.2	0.14142
120867371.78015	0.1	0.1
120867381.78015	0.2	0.14142
120867391.78015	0.2	0.14142
120867401.78015	0.2	0.14142
120867411.78015	0.1	0.1
120867431.78015	0.1	0.1
120867441.78015	0.1	0.1
120867451.78015	0.3	0.17321
120867461.78015	0.1	0.1
120867471.78015	0.2	0.14142
120867481.78015	0.4	0.2
120867491.78015	0.4	0.2
120867501.78015	0.3	0.17321
120867511.78015	0.1	0.1
120867531.78015	0.2	0.14142
120867541.78015	0.2	0.14142
120867551.78015	0.2	0.14142
120867561.78015	0.2	0.14142
120867571.78015	0.2	0.14142
120867581.78015	0.1	0.1
120867601.78015	0.3	0.17321
120867621.78015	0.2	0.14142
120867631.78015	0.2	0.14142
120867641.78015	0.1	0.1
120867661.78015	0.1	0.1
120867681.78015	0.1	0.1
120867701.78015	0.1	0.1
120867711.78015	0.2	0.14142
120867731.78015	0.1	0.1
120867771.78015	0.2	0.14142
120867781.78015	0.2	0.14142
120867811.78015	0.3	0.17321
120867821.78015	0.3	0.17321
120867831.78015	0.1	0.1
120867841.78015	0.1	0.1
120867851.78015	0.2	0.14142
120867861.78015	0.3	0.17321
120867881.78015	0.2	0.14142
120867891.78015	0.1	0.1
120867901.78015	0.1	0.1
120867911.78015	0.2	0.14142
120867921.78015	0.2	0.14142
120867931.78015	0.1	0.1
120867941.78015	0.1	0.1
120867951.78015	0.1	0.1
120867961.78015	0.1	0.1
120867971.78015	0.1	0.1
120867981.78015	0.3	0.17321
120867991.78015	0.4	0.2
120868001.78015	0.1	0.1
120868011.78015	0.3	0.17321
120868021.78015	0.3	0.17321
120868041.78015	0.2	0.14142
120868051.78015	0.2	0.14142
120868071.78015	0.1	0.1
120868081.78015	0.1	0.1
120868091.78015	0.3	0.17321
120868101.78015	0.2	0.14142
120868121.78015	0.2	0.14142
120868131.78015	0.1	0.1
120868151.78015	0.1	0.1
120868161.78015	0.4	0.2
120868171.78015	0.1	0.1
120868181.78015	0.2	0.14142
120868191.78015	0.1	0.1
120868211.78015	0.4	0.2
120868241.78015	0.2	0.14142
120868251.78015	0.1	0.1
120868271.78015	0.2	0.14142
120868281.78015	0.2	0.14142
120868301.78015	0.5	0.22361
120868311.78015	0.3	0.17321
120868321.78015	0.1	0.1
120868331.78015	0.3	0.17321
120868341.78015	0.1	0.1
120868361.78015	0.3	0.17321
120868371.78015	0.1	0.1
120868381.78015	0.1	0.1
120868401.78015	0.1	0.1
120868411.78015	0.2	0.14142
120868421.78015	0.1	0.1
120868431.78015	0.2	0.14142
120868441.78015	0.2	0.14142
120868451.78015	0.2	0.14142
120868461.78015	0.1	0.1
120868471.78015	0.1	0.1
120868481.78015	0.4	0.2
120868491.78015	0.2	0.14142
120868511.78015	0.2	0.14142
120868521.78015	0.2	0.14142
120868531.78015	0.1	0.1
120868541.78015	0.1	0.1
120868551.78015	0.1	0.1
120868561.78015	0.4	0.2
120868571.78015	0.1	0.1
120868581.78015	0.1	0.1
120868591.78015	0.4	0.2
120868601.78015	0.1	0.1
120868611.78015	0.2	0.14142
120868621.78015	0.1	0.1
120868631.78015	0.1	0.1
120868641.78015	0.3	0.17321
120868651.78015	0.1	0.1
120868661.78015	0.1	0.1
120868671.78015	0.3	0.17321
120868681.78015	0.3	0.17321
120868691.78015	0.2	0.14142
120868701.78015	0.1	0.1
120868711.78015	0.2	0.14142
120868721.78015	0.1	0.1
120868731.78015	0.3	0.17321
120868741.78015	0.3	0.17321
120868751.78015	0.1	0.1
120868761.78015	0.1	0.1
120868771.78015	0.2	0.14142
120868781.78015	0.1	0.1
120868801.78015	0.1	0.1
120868811.78015	0.2	0.14142
120868821.78015	0.2	0.14142
120868841.78015	0.1	0.1
120868851.78015	0.1	0.1
120868861.78015	0.2	0.14142
120868871.78015	0.2	0.14142
120868881.78015	0.2	0.14142
120868891.78015	0.1	0.1
120868911.78015	0.2	0.14142
120868921.78015	0.1	0.1
120868931.78015	0.2	0.14142
120868951.78015	0.3	0.17321
120868961.78015	0.1	0.1
120868971.78015	0.2	0.14142
120868981.78015	0.2	0.14142
120868991.78015	0.3	0.17321
120869001.78015	0.2	0.14142
120869011.78015	0.3	0.17321
120869021.78015	0.1	0.1
120869031.78015	0.3	0.17321
120869041.78015	0.2	0.14142
120869051.78015	0.1	0.1
120869061.78015	0.1	0.1
120869071.78015	0.1	0.1
120869081.78015	0.2	0.14142
120869091.78015	0.2	0.14142
120869101.78015	0.1	0.1
120869111.78015	0.6	0.24495
120869131.78015	0.1	0.1
120869141.78015	0.3	0.17321
120869151.78015	0.1	0.1
120869161.78015	0.2	0.14142
120869171.78015	0.1	0.1
120869181.78015	0.1	0.1
120869191.78015	0.3	0.17321
120869201.78015	0.3	0.17321
120869231.78015	0.3	0.17321
120869241.78015	0.1	0.1
120869281.78015	0.1	0.1
120869301.78015	0.4	0.2
120869311.78015	0.1	0.1
120869321.78015	0.1	0.1
120869341.78015	0.2	0.14142
120869361.78015	0.2	0.14142
120869381.78015	0.1	0.1
120869391.78015	0.3	0.17321
120869401.78015	0.2	0.14142
120869411.78015	0.2	0.14142
120869421.78015	0.3	0.17321
120869431.78015	0.1	0.1
120869441.78015	0.1	0.1
120869451.78015	0.3	0.17321
120869481.78015	0.1	0.1
