Time	Count	Error
120874529.00807	33.0	5.74456
120874530.00807	32.0	5.65685
120874531.00807	33.0	5.74456
120874532.00807	29.0	5.38516
120874533.00807	21.0	4.58258
120874534.00807	38.0	6.16441
120874535.00807	26.0	5.09902
120874536.00807	45.0	6.7082
120874537.00807	39.0	6.245
120874538.00807	43.0	6.55744
120874539.00807	38.0	6.16441
120874540.00807	37.0	6.08276
120874541.00807	34.0	5.83095
120874542.00807	29.0	5.38516
120874543.00807	37.0	6.08276
120874544.00807	31.0	5.56776
120874545.00807	34.0	5.83095
120874546.00807	44.0	6.63325
120874547.00807	33.0	5.74456
120874548.00807	34.0	5.83095
120874549.00807	36.0	6.0
120874550.00807	34.0	5.83095
120874551.00807	41.0	6.40312
120874552.00807	34.0	5.83095
120874553.00807	30.0	5.47723
120874554.00807	27.0	5.19615
120874555.00807	35.0	5.91608
120874556.00807	36.0	6.0
120874557.00807	45.0	6.7082
120874558.00807	40.0	6.32456
120874559.00807	45.0	6.7082
120874560.00807	39.0	6.245
120874561.00807	34.0	5.83095
120874562.00807	35.0	5.91608
120874563.00807	41.0	6.40312
120874564.00807	27.0	5.19615
120874565.00807	34.0	5.83095
120874566.00807	35.0	5.91608
120874567.00807	37.0	6.08276
120874568.00807	40.0	6.32456
120874569.00807	21.0	4.58258
120874570.00807	38.0	6.16441
120874571.00807	34.0	5.83095
120874572.00807	28.0	5.2915
120874573.00807	35.0	5.91608
120874574.00807	33.0	5.74456
120874575.00807	26.0	5.09902
120874576.00807	23.0	4.79583
120874577.00807	39.0	6.245
120874578.00807	27.0	5.19615
120874579.00807	25.0	5.0
120874580.00807	33.0	5.74456
120874581.00807	48.0	6.9282
120874582.00807	34.0	5.83095
120874583.00807	34.0	5.83095
120874584.00807	30.0	5.47723
120874585.00807	33.0	5.74456
120874586.00807	27.0	5.19615
120874587.00807	33.0	5.74456
120874588.00807	35.0	5.91608
120874589.00807	39.0	6.245
120874590.00807	48.0	6.9282
120874591.00807	38.0	6.16441
120874592.00807	27.0	5.19615
120874593.00807	43.0	6.55744
120874594.00807	33.0	5.74456
120874595.00807	43.0	6.55744
120874596.00807	47.0	6.85565
120874597.00807	35.0	5.91608
120874598.00807	32.0	5.65685
120874599.00807	43.0	6.55744
120874600.00807	52.0	7.2111
120874601.00807	31.0	5.56776
120874602.00807	42.0	6.48074
120874603.00807	40.0	6.32456
120874604.00807	46.0	6.78233
120874605.00807	44.0	6.63325
120874606.00807	33.0	5.74456
120874607.00807	38.0	6.16441
120874608.00807	35.0	5.91608
120874609.00807	23.0	4.79583
120874610.00807	39.0	6.245
120874611.00807	39.0	6.245
120874612.00807	32.0	5.65685
120874613.00807	46.0	6.78233
120874614.00807	35.0	5.91608
120874615.00807	36.0	6.0
120874616.00807	44.0	6.63325
120874617.00807	31.0	5.56776
120874618.00807	32.0	5.65685
120874619.00807	32.0	5.65685
120874620.00807	32.0	5.65685
120874621.00807	34.0	5.83095
120874622.00807	52.0	7.2111
120874623.00807	32.0	5.65685
120874624.00807	37.0	6.08276
120874625.00807	52.0	7.2111
120874626.00807	31.0	5.56776
120874627.00807	30.0	5.47723
120874628.00807	41.0	6.40312
120874629.00807	40.0	6.32456
120874630.00807	32.0	5.65685
120874631.00807	38.0	6.16441
120874632.00807	44.0	6.63325
120874633.00807	39.0	6.245
120874634.00807	32.0	5.65685
120874635.00807	32.0	5.65685
120874636.00807	36.0	6.0
120874637.00807	31.0	5.56776
120874638.00807	36.0	6.0
120874639.00807	41.0	6.40312
120874640.00807	27.0	5.19615
120874641.00807	49.0	7.0
120874642.00807	34.0	5.83095
120874643.00807	48.0	6.9282
120874644.00807	41.0	6.40312
120874645.00807	30.0	5.47723
120874646.00807	30.0	5.47723
120874647.00807	32.0	5.65685
120874648.00807	31.0	5.56776
120874649.00807	28.0	5.2915
120874650.00807	34.0	5.83095
120874651.00807	32.0	5.65685
120874652.00807	33.0	5.74456
120874653.00807	35.0	5.91608
120874654.00807	42.0	6.48074
120874655.00807	49.0	7.0
120874656.00807	32.0	5.65685
120874657.00807	37.0	6.08276
120874658.00807	35.0	5.91608
120874659.00807	45.0	6.7082
120874660.00807	44.0	6.63325
120874661.00807	36.0	6.0
120874662.00807	28.0	5.2915
120874663.00807	42.0	6.48074
120874664.00807	29.0	5.38516
120874665.00807	42.0	6.48074
120874666.00807	26.0	5.09902
120874667.00807	35.0	5.91608
120874668.00807	39.0	6.245
120874669.00807	26.0	5.09902
120874670.00807	26.0	5.09902
120874671.00807	33.0	5.74456
120874672.00807	38.0	6.16441
120874673.00807	46.0	6.78233
120874674.00807	26.0	5.09902
120874675.00807	47.0	6.85565
120874676.00807	28.0	5.2915
120874677.00807	31.0	5.56776
120874678.00807	27.0	5.19615
120874679.00807	35.0	5.91608
120874680.00807	23.0	4.79583
120874681.00807	45.0	6.7082
120874682.00807	41.0	6.40312
120874683.00807	37.0	6.08276
120874684.00807	39.0	6.245
120874685.00807	29.0	5.38516
120874686.00807	38.0	6.16441
120874687.00807	36.0	6.0
120874688.00807	39.0	6.245
120874689.00807	70.0	8.3666
120874690.00807	42.0	6.48074
120874691.00807	34.0	5.83095
120874692.00807	42.0	6.48074
120874693.00807	31.0	5.56776
120874694.00807	35.0	5.91608
120874695.00807	49.0	7.0
120874696.00807	37.0	6.08276
120874697.00807	26.0	5.09902
120874698.00807	43.0	6.55744
120874699.00807	34.0	5.83095
120874700.00807	39.0	6.245
120874701.00807	27.0	5.19615
120874702.00807	37.0	6.08276
120874703.00807	23.0	4.79583
120874704.00807	29.0	5.38516
120874705.00807	30.0	5.47723
120874706.00807	47.0	6.85565
120874707.00807	34.0	5.83095
120874708.00807	38.0	6.16441
120874709.00807	33.0	5.74456
120874710.00807	31.0	5.56776
120874711.00807	38.0	6.16441
120874712.00807	31.0	5.56776
120874713.00807	42.0	6.48074
120874714.00807	31.0	5.56776
120874715.00807	34.0	5.83095
120874716.00807	45.0	6.7082
120874717.00807	35.0	5.91608
120874718.00807	33.0	5.74456
120874719.00807	46.0	6.78233
120874720.00807	36.0	6.0
120874721.00807	41.0	6.40312
120874722.00807	43.0	6.55744
120874723.00807	43.0	6.55744
120874724.00807	43.0	6.55744
120874725.00807	42.0	6.48074
120874726.00807	40.0	6.32456
120874727.00807	40.0	6.32456
120874728.00807	48.0	6.9282
120874729.00807	28.0	5.2915
120874730.00807	43.0	6.55744
120874731.00807	36.0	6.0
120874732.00807	44.0	6.63325
120874733.00807	23.0	4.79583
120874734.00807	23.0	4.79583
120874735.00807	40.0	6.32456
120874736.00807	27.0	5.19615
120874737.00807	42.0	6.48074
120874738.00807	44.0	6.63325
120874739.00807	36.0	6.0
120874740.00807	29.0	5.38516
120874741.00807	29.0	5.38516
120874742.00807	30.0	5.47723
120874743.00807	37.0	6.08276
120874744.00807	31.0	5.56776
120874745.00807	31.0	5.56776
120874746.00807	28.0	5.2915
120874747.00807	34.0	5.83095
120874748.00807	37.0	6.08276
120874749.00807	27.0	5.19615
120874750.00807	43.0	6.55744
120874751.00807	32.0	5.65685
120874752.00807	35.0	5.91608
120874753.00807	31.0	5.56776
120874754.00807	37.0	6.08276
120874755.00807	41.0	6.40312
120874756.00807	44.0	6.63325
120874757.00807	44.0	6.63325
120874758.00807	38.0	6.16441
120874759.00807	48.0	6.9282
120874760.00807	54.0	7.34847
120874761.00807	36.0	6.0
120874762.00807	33.0	5.74456
120874763.00807	35.0	5.91608
120874764.00807	28.0	5.2915
120874765.00807	37.0	6.08276
120874766.00807	36.0	6.0
120874767.00807	33.0	5.74456
120874768.00807	30.0	5.47723
120874769.00807	52.0	7.2111
120874770.00807	35.0	5.91608
120874771.00807	33.0	5.74456
120874772.00807	32.0	5.65685
120874773.00807	39.0	6.245
120874774.00807	32.0	5.65685
120874775.00807	49.0	7.0
120874776.00807	40.0	6.32456
120874777.00807	49.0	7.0
120874778.00807	26.0	5.09902
120874779.00807	27.0	5.19615
120874780.00807	45.0	6.7082
120874781.00807	32.0	5.65685
120874782.00807	39.0	6.245
120874783.00807	36.0	6.0
120874784.00807	35.0	5.91608
120874785.00807	36.0	6.0
120874786.00807	42.0	6.48074
120874787.00807	23.0	4.79583
120874788.00807	35.0	5.91608
120874789.00807	33.0	5.74456
120874790.00807	38.0	6.16441
120874791.00807	30.0	5.47723
120874792.00807	41.0	6.40312
120874793.00807	31.0	5.56776
120874794.00807	38.0	6.16441
120874795.00807	42.0	6.48074
120874796.00807	36.0	6.0
120874797.00807	35.0	5.91608
120874798.00807	41.0	6.40312
120874799.00807	41.0	6.40312
120874800.00807	41.0	6.40312
120874801.00807	39.0	6.245
120874802.00807	48.0	6.9282
120874803.00807	41.0	6.40312
120874804.00807	34.0	5.83095
120874805.00807	46.0	6.78233
120874806.00807	32.0	5.65685
120874807.00807	27.0	5.19615
120874808.00807	32.0	5.65685
120874809.00807	55.0	7.4162
120874810.00807	34.0	5.83095
120874811.00807	39.0	6.245
120874812.00807	31.0	5.56776
120874813.00807	37.0	6.08276
120874814.00807	37.0	6.08276
120874815.00807	27.0	5.19615
120874816.00807	27.0	5.19615
120874817.00807	33.0	5.74456
120874818.00807	43.0	6.55744
120874819.00807	31.0	5.56776
120874820.00807	40.0	6.32456
120874821.00807	38.0	6.16441
120874822.00807	36.0	6.0
120874823.00807	36.0	6.0
120874824.00807	32.0	5.65685
120874825.00807	33.0	5.74456
120874826.00807	46.0	6.78233
120874827.00807	37.0	6.08276
120874828.00807	32.0	5.65685
120874829.00807	32.0	5.65685
120874830.00807	36.0	6.0
120874831.00807	39.0	6.245
120874832.00807	29.0	5.38516
120874833.00807	28.0	5.2915
120874834.00807	24.0	4.89898
120874835.00807	34.0	5.83095
120874836.00807	45.0	6.7082
120874837.00807	44.0	6.63325
120874838.00807	45.0	6.7082
120874839.00807	31.0	5.56776
120874840.00807	40.0	6.32456
120874841.00807	37.0	6.08276
120874842.00807	31.0	5.56776
120874843.00807	54.0	7.34847
120874844.00807	30.0	5.47723
120874845.00807	36.0	6.0
120874846.00807	35.0	5.91608
120874847.00807	36.0	6.0
120874848.00807	52.0	7.2111
120874849.00807	37.0	6.08276
120874850.00807	40.0	6.32456
120874851.00807	42.0	6.48074
120874852.00807	47.0	6.85565
120874853.00807	51.0	7.14143
120874854.00807	30.0	5.47723
120874855.00807	25.0	5.0
120874856.00807	30.0	5.47723
120874857.00807	41.0	6.40312
120874858.00807	25.0	5.0
120874859.00807	31.0	5.56776
120874860.00807	22.0	4.69042
120874861.00807	29.0	5.38516
120874862.00807	38.0	6.16441
120874863.00807	49.0	7.0
120874864.00807	29.0	5.38516
120874865.00807	34.0	5.83095
120874866.00807	32.0	5.65685
120874867.00807	37.0	6.08276
120874868.00807	22.0	4.69042
120874869.00807	40.0	6.32456
120874870.00807	37.0	6.08276
120874871.00807	38.0	6.16441
120874872.00807	36.0	6.0
120874873.00807	47.0	6.85565
120874874.00807	42.0	6.48074
120874875.00807	42.0	6.48074
120874876.00807	34.0	5.83095
120874877.00807	33.0	5.74456
120874878.00807	30.0	5.47723
120874879.00807	38.0	6.16441
120874880.00807	40.0	6.32456
120874881.00807	27.0	5.19615
120874882.00807	39.0	6.245
120874883.00807	36.0	6.0
120874884.00807	32.0	5.65685
120874885.00807	32.0	5.65685
120874886.00807	38.0	6.16441
120874887.00807	34.0	5.83095
120874888.00807	33.0	5.74456
120874889.00807	44.0	6.63325
120874890.00807	37.0	6.08276
120874891.00807	31.0	5.56776
120874892.00807	37.0	6.08276
120874893.00807	33.0	5.74456
120874894.00807	38.0	6.16441
120874895.00807	29.0	5.38516
120874896.00807	33.0	5.74456
120874897.00807	37.0	6.08276
120874898.00807	41.0	6.40312
120874899.00807	39.0	6.245
120874900.00807	44.0	6.63325
120874901.00807	36.0	6.0
120874902.00807	34.0	5.83095
120874903.00807	26.0	5.09902
120874904.00807	35.0	5.91608
120874905.00807	35.0	5.91608
120874906.00807	42.0	6.48074
120874907.00807	30.0	5.47723
120874908.00807	37.0	6.08276
120874909.00807	41.0	6.40312
120874910.00807	41.0	6.40312
120874911.00807	48.0	6.9282
120874912.00807	29.0	5.38516
120874913.00807	34.0	5.83095
120874914.00807	42.0	6.48074
120874915.00807	34.0	5.83095
120874916.00807	51.0	7.14143
120874917.00807	38.0	6.16441
120874918.00807	41.0	6.40312
120874919.00807	28.0	5.2915
120874920.00807	42.0	6.48074
120874921.00807	46.0	6.78233
120874922.00807	29.0	5.38516
120874923.00807	34.0	5.83095
120874924.00807	40.0	6.32456
120874925.00807	33.0	5.74456
120874926.00807	36.0	6.0
120874927.00807	38.0	6.16441
120874928.00807	50.0	7.07107
120874929.00807	40.0	6.32456
120874930.00807	41.0	6.40312
120874931.00807	34.0	5.83095
120874932.00807	41.0	6.40312
120874933.00807	51.0	7.14143
120874934.00807	39.0	6.245
120874935.00807	28.0	5.2915
120874936.00807	32.0	5.65685
120874937.00807	32.0	5.65685
120874938.00807	44.0	6.63325
120874939.00807	49.0	7.0
120874940.00807	41.0	6.40312
120874941.00807	39.0	6.245
120874942.00807	42.0	6.48074
120874943.00807	39.0	6.245
120874944.00807	35.0	5.91608
120874945.00807	32.0	5.65685
120874946.00807	35.0	5.91608
120874947.00807	47.0	6.85565
120874948.00807	45.0	6.7082
120874949.00807	48.0	6.9282
120874950.00807	38.0	6.16441
120874951.00807	34.0	5.83095
120874952.00807	29.0	5.38516
120874953.00807	38.0	6.16441
120874954.00807	36.0	6.0
120874955.00807	41.0	6.40312
120874956.00807	36.0	6.0
120874957.00807	30.0	5.47723
120874958.00807	39.0	6.245
120874959.00807	34.0	5.83095
120874960.00807	36.0	6.0
120874961.00807	36.0	6.0
120874962.00807	36.0	6.0
120874963.00807	35.0	5.91608
120874964.00807	34.0	5.83095
120874965.00807	37.0	6.08276
120874966.00807	50.0	7.07107
120874967.00807	27.0	5.19615
120874968.00807	37.0	6.08276
120874969.00807	31.0	5.56776
120874970.00807	37.0	6.08276
120874971.00807	35.0	5.91608
120874972.00807	51.0	7.14143
120874973.00807	35.0	5.91608
120874974.00807	41.0	6.40312
120874975.00807	48.0	6.9282
120874976.00807	47.0	6.85565
120874977.00807	50.0	7.07107
120874978.00807	33.0	5.74456
120874979.00807	36.0	6.0
120874980.00807	35.0	5.91608
120874981.00807	23.0	4.79583
120874982.00807	33.0	5.74456
120874983.00807	25.0	5.0
120874984.00807	34.0	5.83095
120874985.00807	44.0	6.63325
120874986.00807	38.0	6.16441
120874987.00807	41.0	6.40312
120874988.00807	43.0	6.55744
120874989.00807	57.0	7.54983
120874990.00807	36.0	6.0
120874991.00807	33.0	5.74456
120874992.00807	32.0	5.65685
120874993.00807	32.0	5.65685
120874994.00807	43.0	6.55744
120874995.00807	38.0	6.16441
120874996.00807	35.0	5.91608
120874997.00807	35.0	5.91608
120874998.00807	42.0	6.48074
120874999.00807	43.0	6.55744
120875000.00807	35.0	5.91608
120875001.00807	48.0	6.9282
120875002.00807	36.0	6.0
120875003.00807	39.0	6.245
120875004.00807	32.0	5.65685
120875005.00807	38.0	6.16441
120875006.00807	35.0	5.91608
120875007.00807	35.0	5.91608
120875008.00807	38.0	6.16441
120875009.00807	40.0	6.32456
120875010.00807	49.0	7.0
120875011.00807	24.0	4.89898
120875012.00807	53.0	7.28011
120875013.00807	35.0	5.91608
120875014.00807	32.0	5.65685
